이용시간대,출발대수,도착대수
23,15488.0,16730
22,24484.0,26292
21,29021.0,30342
20,27927.0,28417
19,30004.0,30834
18,39850.0,41415
17,39210.0,37765
16,31702.0,29637
15,23407.0,22229
14,19556.0,19011
13,20174.0,20459
12,20078.0,19388
11,16147.0,15132
10,14139.0,14029
9,16502.0,17397
8,30347.0,32117
7,23834.0,21490
6,10780.0,8991
5,4851.0,4029
4,2748.0,2047
0,10317.0,10433
3,,81
2,,238
1,,2063
