이용시간대,출발대수,도착대수
23,10847.0,11316
22,14176.0,14707
21,16896.0,17434
20,15464.0,15693
19,17224.0,17887
18,23513.0,25190
17,26659.0,26655
16,23846.0,22967
15,19601.0,18759
14,15656.0,15222
13,15802.0,15941
12,16210.0,15341
11,11948.0,11104
10,9712.0,9516
9,10594.0,10914
8,18366.0,18835
7,12503.0,11604
6,5798.0,5188
5,2947.0,2615
4,1997.0,1499
0,8008.0,7699
3,,52
2,,160
1,,1469
