이용시간대,출발대수,도착대수
23,18009.0,19217
22,26055.0,27885
21,30250.0,31270
20,29674.0,29534
19,29889.0,30235
18,37249.0,37896
17,37127.0,35190
16,27441.0,25588
15,19965.0,18672
14,15888.0,15270
13,16064.0,16331
12,15784.0,15466
11,13469.0,13228
10,13744.0,13951
9,15988.0,16770
8,26371.0,27840
7,21440.0,20402
6,11808.0,10749
5,6069.0,4940
4,3683.0,2754
0,13309.0,12715
3,,140
2,,470
1,,2763
