이용시간대,출발대수,도착대수
23,15201.0,16492
22,23677.0,25283
21,28585.0,29721
20,25813.0,26196
19,28168.0,29472
18,39180.0,41040
17,38173.0,36543
16,29326.0,27367
15,22173.0,20869
14,18740.0,18243
13,18589.0,18482
12,18427.0,17812
11,14712.0,13813
10,12841.0,12719
9,15061.0,16133
8,29098.0,30649
7,22331.0,19908
6,9578.0,8063
5,4209.0,3575
4,2268.0,1676
0,10301.0,10151
3,,76
2,,246
1,,1922
