이용시간대,출발대수,도착대수
23,19046.0,20896
22,28957.0,30535
21,32740.0,34224
20,32322.0,32092
19,32533.0,32500
18,40148.0,40838
17,38360.0,36489
16,28297.0,26323
15,21453.0,20373
14,17209.0,16796
13,18009.0,18459
12,17881.0,16737
11,13926.0,13647
10,13185.0,13203
9,15146.0,16000
8,27090.0,28653
7,22361.0,20915
6,11659.0,10618
5,6177.0,5010
4,3309.0,2531
0,13060.0,12854
3,,128
2,,371
1,,2676
