이용시간대,출발대수,도착대수
23,16899.0,18185
22,25589.0,27144
21,30338.0,31434
20,28264.0,28695
19,31171.0,32575
18,44323.0,47520
17,47194.0,45255
16,36608.0,34031
15,26661.0,25202
14,21430.0,20461
13,22573.0,23125
12,22924.0,21548
11,16940.0,16091
10,15195.0,15072
9,17544.0,18662
8,34555.0,36248
7,26196.0,23990
6,11011.0,9434
5,4898.0,4004
4,2613.0,1946
0,11809.0,11446
3,,92
2,,315
1,,2260
