이용시간대,출발대수,도착대수
23,14559.0,15583
22,20626.0,21614
21,25220.0,26210
20,23118.0,23612
19,24672.0,25764
18,36524.0,39272
17,39568.0,38570
16,32596.0,30424
15,24087.0,22508
14,18150.0,17703
13,18742.0,18761
12,18802.0,18202
11,15615.0,14777
10,13785.0,13762
9,16339.0,17091
8,32060.0,33294
7,21846.0,19869
6,8742.0,7399
5,4086.0,3431
4,2302.0,1716
0,10054.0,9815
3,,87
2,,289
1,,1740
