이용시간대,출발대수,도착대수
23,17601.0,18899
22,27006.0,28808
21,30434.0,31766
20,29466.0,29591
19,30360.0,31184
18,40657.0,41602
17,39802.0,38119
16,30417.0,28203
15,21850.0,20384
14,17602.0,16959
13,17220.0,17046
12,16361.0,15730
11,13160.0,12477
10,11562.0,11449
9,12962.0,14130
8,24648.0,26017
7,18805.0,17190
6,8900.0,8111
5,4460.0,3742
4,2989.0,2231
0,12499.0,12163
3,,125
2,,347
1,,2488
