이용시간대,출발대수,도착대수
23,18333.0,19886
22,27741.0,29416
21,32599.0,34000
20,31045.0,31362
19,31885.0,32690
18,41916.0,43315
17,42095.0,40540
16,32914.0,30060
15,23571.0,22277
14,19577.0,19018
13,19292.0,19517
12,19476.0,18728
11,15563.0,14574
10,13467.0,13407
9,14984.0,16090
8,26901.0,28073
7,21676.0,19983
6,10611.0,9467
5,5711.0,4852
4,3331.0,2475
0,13137.0,12823
3,,117
2,,386
1,,2769
