new출발터미널,총이용시간,평균이용시간
1,24 days 18:12:42,0 days 00:17:49.581000
2,84 days 18:13:36,0 days 00:18:41.644355950
4,36 days 13:30:09,0 days 00:24:11.750459558
5,19 days 22:38:37,0 days 00:18:42.551791530
6,43 days 09:58:18,0 days 00:15:53.022865853
7,43 days 16:12:07,0 days 00:21:39.423898071
8,73 days 09:11:49,0 days 00:14:26.754477101
9,73 days 17:55:31,0 days 00:19:50.755185946
10,27 days 15:48:31,0 days 00:17:42.093777777
11,71 days 14:00:05,0 days 00:15:52.974576271
12,44 days 07:46:07,0 days 00:16:08.529843196
13,25 days 08:59:51,0 days 00:19:16.934564643
14,12 days 10:52:01,0 days 00:21:11.774231678
15,35 days 08:59:48,0 days 00:17:52.416842105
16,6 days 23:17:18,0 days 00:53:57.838709677
17,31 days 12:32:35,0 days 00:16:12.698214285
18,73 days 03:46:38,0 days 00:11:29.366124986
19,14 days 04:36:15,0 days 00:18:52.202216066
20,55 days 22:31:10,0 days 00:22:52.251561612
21,53 days 21:31:38,0 days 00:22:15.445368511
22,29 days 19:57:21,0 days 00:12:58.447900936
23,30 days 05:44:50,0 days 00:16:04.448135843
24,31 days 19:41:07,0 days 00:17:00.893798737
26,10 days 01:05:09,0 days 00:18:17.230088495
27,126 days 23:47:44,0 days 00:14:52.110252866
28,126 days 06:48:16,0 days 00:21:24.541558747
29,13 days 23:44:58,0 days 00:14:54.669133974
30,82 days 22:12:56,0 days 00:24:55.777870563
32,32 days 16:13:52,0 days 00:16:52.273933309
33,5 days 06:47:38,0 days 00:23:59.930599369
34,66 days 04:59:02,0 days 00:15:05.977510294
35,70 days 23:49:39,0 days 00:17:51.776865280
36,5 days 17:52:43,0 days 00:21:19.286082474
37,24 days 23:13:15,0 days 00:20:41.908462867
38,28 days 23:27:44,0 days 00:21:12.833756990
39,49 days 22:39:48,0 days 00:12:43.479830148
40,22 days 17:20:23,0 days 00:11:55.982129832
41,56 days 00:06:16,0 days 00:11:35.126562275
42,49 days 13:32:47,0 days 00:13:32.131044945
43,36 days 14:59:56,0 days 00:13:21.112911392
44,17 days 09:11:50,0 days 00:14:52.931034482
45,9 days 13:33:26,0 days 00:21:07.493865030
46,20 days 00:41:27,0 days 00:23:14.429492344
47,8 days 12:48:56,0 days 00:14:02.669714285
48,44 days 23:45:51,0 days 00:20:21.606222501
49,20 days 20:23:13,0 days 00:17:16.474683544
50,13 days 16:07:47,0 days 00:18:21.928171641
51,24 days 04:27:16,0 days 00:26:27.869300911
52,95 days 06:26:37,0 days 00:33:14.958070770
53,48 days 03:20:28,0 days 00:17:31.637926675
54,13 days 21:55:23,0 days 00:26:38.567819148
55,18 days 13:14:49,0 days 00:15:58.665669856
56,28 days 06:30:24,0 days 00:17:37.870939800
57,27 days 01:59:58,0 days 00:17:56.851357570
58,27 days 05:11:19,0 days 00:18:30.235599622
59,32 days 05:43:16,0 days 00:25:08.881906825
60,32 days 10:43:27,0 days 00:30:54.105158730
61,33 days 17:22:49,0 days 00:16:06.744857332
62,29 days 10:39:57,0 days 00:22:26.742721016
63,18 days 10:47:24,0 days 00:16:00.846292947
64,11 days 22:38:33,0 days 00:16:32.224038461
65,45 days 23:09:14,0 days 00:16:27.407757334
66,20 days 01:46:37,0 days 00:14:59.117159149
67,2 days 14:42:46,0 days 00:48:14.435897435
68,8 days 07:04:17,0 days 00:23:56.186372745
69,23 days 04:28:30,0 days 00:16:13.898881866
70,8 days 06:33:13,0 days 00:15:19.939510939
71,7 days 13:06:23,0 days 00:21:23.431102362
72,25 days 10:48:06,0 days 00:20:02.234007654
73,69 days 05:16:42,0 days 00:19:53.494711634
74,27 days 02:43:13,0 days 00:18:21.360131640
75,78 days 07:53:01,0 days 00:19:32.078455143
76,6 days 09:22:40,0 days 00:14:37.837837837
77,29 days 14:02:55,0 days 00:17:38.019453642
78,28 days 01:32:13,0 days 00:14:27.525223613
79,11 days 22:57:23,0 days 00:15:09.368838028
80,29 days 06:50:32,0 days 00:17:21.247736625
81,31 days 14:19:05,0 days 00:18:05.896976929
82,13 days 06:44:04,0 days 00:19:38.073921971
83,13 days 14:05:17,0 days 00:23:37.774154589
84,14 days 07:13:26,0 days 00:18:43.278181818
85,17 days 05:59:38,0 days 00:13:25.609729729
86,35 days 06:12:06,0 days 00:16:27.143875567
87,63 days 09:59:46,0 days 00:31:05.572352740
89,14 days 12:55:54,0 days 00:22:45.384782608
90,19 days 02:06:02,0 days 00:34:42.275252525
91,1 days 12:19:28,0 days 00:22:28.123711340
92,6 days 03:08:43,0 days 00:15:35.906360424
93,26 days 19:50:38,0 days 00:13:23.688626907
94,7 days 04:09:48,0 days 00:29:05.881690140
95,22 days 19:23:51,0 days 00:28:50.141352063
96,2 days 00:51:31,0 days 00:16:33.734463276
97,7 days 22:25:27,0 days 00:23:04.903030303
101,45 days 02:55:58,0 days 00:18:08.070890315
102,3 days 02:29:49,0 days 00:30:12.087837837
103,20 days 12:07:08,0 days 00:16:25.332591768
104,23 days 11:21:35,0 days 00:18:56.824551569
105,39 days 15:57:20,0 days 00:14:10.171173406
106,19 days 11:43:54,0 days 00:21:09.859728506
107,29 days 12:20:12,0 days 00:21:21.413065326
108,18 days 14:56:52,0 days 00:15:58.315664085
