new출발터미널,총이용시간,평균이용시간
1,12 days 15:30:22,0 days 00:15:41.104220499
2,45 days 15:29:23,0 days 00:16:44.012983706
4,15 days 13:13:40,0 days 00:21:35.679845708
5,9 days 12:30:49,0 days 00:15:24.324719101
6,27 days 19:06:20,0 days 00:15:35.923616523
7,25 days 11:07:03,0 days 00:20:15.482320441
8,44 days 00:47:17,0 days 00:12:40.735252949
9,39 days 03:11:38,0 days 00:17:13.974923547
10,15 days 21:27:51,0 days 00:16:30.101658255
11,47 days 22:57:41,0 days 00:18:04.391782255
12,22 days 23:57:28,0 days 00:13:41.433650268
13,11 days 11:17:51,0 days 00:13:40.423013245
14,9 days 09:50:47,0 days 00:19:40.039187227
15,17 days 10:19:19,0 days 00:15:47.144025157
16,1 days 20:20:31,0 days 00:28:36.462365591
17,22 days 00:54:07,0 days 00:18:32.176985981
18,58 days 15:34:59,0 days 00:14:17.701252538
19,4 days 09:21:42,0 days 00:17:51.474576271
20,28 days 06:20:22,0 days 00:17:37.610220874
21,19 days 21:47:03,0 days 00:14:30.456983805
22,20 days 18:01:38,0 days 00:14:28.652131782
23,18 days 15:55:48,0 days 00:15:49.674911660
24,14 days 07:34:40,0 days 00:12:19.318589360
26,4 days 18:38:18,0 days 00:14:21.582463465
27,66 days 15:50:49,0 days 00:12:26.332642218
28,64 days 20:26:34,0 days 00:17:28.109614665
29,10 days 05:48:52,0 days 00:14:42.285144566
30,48 days 04:49:04,0 days 00:24:40.990042674
32,17 days 19:33:48,0 days 00:15:17.846153846
33,3 days 00:01:06,0 days 00:21:10.911764705
34,33 days 23:55:53,0 days 00:11:56.952160117
35,33 days 18:57:53,0 days 00:14:43.885255828
36,3 days 22:43:44,0 days 00:24:23.622317596
37,8 days 18:58:54,0 days 00:15:37.696296296
38,15 days 01:55:54,0 days 00:21:32.613095238
39,46 days 14:56:37,0 days 00:17:52.755525965
40,14 days 08:45:52,0 days 00:12:59.618090452
41,33 days 06:17:50,0 days 00:10:27.893816910
42,31 days 23:21:18,0 days 00:12:46.290707350
43,35 days 16:00:46,0 days 00:21:53.014912654
44,10 days 17:26:48,0 days 00:13:36.570925110
45,5 days 19:25:16,0 days 00:23:02.688705234
46,8 days 11:22:50,0 days 00:20:20.283333333
47,6 days 14:11:06,0 days 00:14:38.805555555
48,19 days 23:30:46,0 days 00:14:19.256346441
49,13 days 21:56:24,0 days 00:19:02.760456273
50,8 days 23:45:48,0 days 00:16:14.589711417
51,6 days 20:18:26,0 days 00:15:04.443425076
52,25 days 02:51:59,0 days 00:23:51.608839050
53,27 days 15:13:03,0 days 00:16:55.992765957
54,4 days 13:36:01,0 days 00:15:02.885583524
55,11 days 11:41:51,0 days 00:13:36.209703947
56,15 days 03:47:10,0 days 00:16:00.139296187
57,16 days 18:35:12,0 days 00:16:34.723404255
58,12 days 04:51:42,0 days 00:14:12.995145631
59,13 days 09:47:37,0 days 00:15:18.681205392
60,9 days 11:57:11,0 days 00:16:20.443249701
61,23 days 14:14:52,0 days 00:16:39.260784313
62,12 days 03:42:27,0 days 00:13:23.478959449
63,9 days 20:19:48,0 days 00:14:15.063316582
64,7 days 14:09:42,0 days 00:16:32.105900151
65,60 days 02:51:30,0 days 00:35:21.850490196
66,13 days 00:31:55,0 days 00:14:25.473076923
67,0 days 17:33:49,0 days 00:47:54.045454545
68,4 days 10:53:42,0 days 00:22:59.290322580
69,13 days 15:29:08,0 days 00:14:22.434528163
70,5 days 05:01:34,0 days 00:13:48.902394106
71,4 days 21:18:44,0 days 00:28:22.919354838
72,13 days 00:51:00,0 days 00:16:34.929328621
73,36 days 02:38:48,0 days 00:17:03.598425196
74,16 days 18:09:56,0 days 00:19:05.408227848
75,81 days 08:32:51,0 days 00:32:10.030477759
76,5 days 03:21:05,0 days 00:17:37.297619047
77,21 days 21:11:55,0 days 00:20:30.133376707
78,18 days 11:24:26,0 days 00:16:13.926784624
79,6 days 21:24:46,0 days 00:14:03.464589235
80,17 days 17:06:24,0 days 00:16:58.219560878
81,18 days 02:48:53,0 days 00:17:01.757832898
82,19 days 01:14:19,0 days 00:55:05.339357429
83,5 days 05:04:11,0 days 00:17:05.628701594
84,9 days 01:43:14,0 days 00:16:22.197994987
85,10 days 11:02:48,0 days 00:12:03.014400
86,24 days 01:52:56,0 days 00:14:50.571917808
87,41 days 02:13:23,0 days 00:27:39.842449742
89,13 days 08:20:42,0 days 00:21:47.530612244
90,5 days 20:02:51,0 days 00:27:43.930693069
91,0 days 18:26:36,0 days 00:25:09
92,3 days 05:12:24,0 days 00:12:41.490410958
93,16 days 17:11:17,0 days 00:12:18.005620848
94,2 days 20:02:52,0 days 00:25:02.895705521
95,20 days 17:12:31,0 days 00:32:25.598913043
96,1 days 06:34:52,0 days 00:15:09.851239669
97,13 days 16:00:02,0 days 00:59:16.632530120
101,22 days 21:00:17,0 days 00:16:37.183148335
102,1 days 20:09:28,0 days 00:23:26.796460176
103,10 days 01:11:56,0 days 00:14:33.557344064
104,19 days 03:47:59,0 days 00:21:54.756949960
105,16 days 18:55:26,0 days 00:16:28.770279481
106,10 days 13:40:45,0 days 00:22:19.068914956
107,16 days 00:52:13,0 days 00:20:12.189851268
108,14 days 01:07:53,0 days 00:18:39.624538745
109,30 days 15:29:33,0 days 00:15:58.296416938
110,13 days 03:25:38,0 days 00:12:00.062143310
112,3 days 10:03:18,0 days 00:18:02.043956043
113,13 days 15:23:58,0 days 00:14:10.388167388
114,1 days 13:46:08,0 days 00:16:11.200000
115,8 days 08:03:22,0 days 00:15:30.493540051
116,13 days 12:26:03,0 days 00:11:40.637672465
117,26 days 17:15:10,0 days 00:18:33.608297153
118,19 days 20:15:13,0 days 00:15:03.802319451
119,14 days 19:11:08,0 days 00:19:53.901027077
120,17 days 16:38:33,0 days 00:17:36.470628887
121,21 days 12:22:26,0 days 00:15:04.156614785
123,25 days 12:25:52,0 days 00:25:24.724757952
124,14 days 15:24:25,0 days 00:13:22.706218274
125,25 days 14:10:14,0 days 00:19:15.783585990
126,23 days 09:36:01,0 days 00:17:50.281101111
127,20 days 01:41:47,0 days 00:16:12.578238923
128,13 days 03:46:53,0 days 00:16:24.253679653
129,22 days 11:39:55,0 days 00:16:22.698533131
130,2 days 18:51:56,0 days 00:24:01.413173652
131,13 days 15:44:32,0 days 00:18:46.907354345
132,26 days 11:30:46,0 days 00:15:58.862531433
134,26 days 10:26:24,0 days 00:22:37.090909090
135,22 days 04:44:02,0 days 00:15:02.513882352
136,21 days 00:46:37,0 days 00:14:23.686787072
137,5 days 02:15:34,0 days 00:14:38.510978043
138,22 days 21:48:10,0 days 00:18:42.682926829
139,20 days 12:31:55,0 days 00:13:01.796737213
140,18 days 21:42:56,0 days 00:14:26.053022269
141,10 days 18:14:42,0 days 00:13:41.273851590
142,22 days 18:35:58,0 days 00:14:56.881494986
143,6 days 09:16:10,0 days 00:19:51.727861771
144,11 days 08:01:01,0 days 00:21:47.424566088
145,55 days 02:24:01,0 days 02:36:48.381422924
146,3 days 17:26:45,0 days 00:15:36.061046511
147,127 days 09:10:32,0 days 03:29:38.093714285
148,7 days 05:24:37,0 days 00:13:23.445302445
149,1 days 05:05:59,0 days 00:25:18.246376811
150,0 days 18:15:04,0 days 00:28:04.717948717
151,3 days 22:03:18,0 days 00:17:54.914285714
152,3 days 08:27:27,0 days 00:13:20.129834254
153,5 days 11:14:10,0 days 00:21:27.329700272
155,3 days 23:50:06,0 days 00:26:01.113122171
156,0 days 11:26:28,0 days 00:45:45.866666666
157,0 days 21:36:46,0 days 00:40:31.437500
158,1 days 22:48:40,0 days 00:19:14.246575342
160,1 days 02:37:30,0 days 00:42:02.368421052
162,3 days 12:03:57,0 days 00:19:10.711026615
164,4 days 07:08:24,0 days 00:25:09.365853658
165,5 days 09:49:02,0 days 00:18:17.046948356
166,0 days 21:53:02,0 days 00:11:02.033613445
167,7 days 22:37:46,0 days 00:16:03.856741573
168,40 days 16:44:01,0 days 00:13:25.922759569
169,0 days 00:00:15,0 days 00:00:15
170,26 days 13:55:02,0 days 00:18:46.288376655
171,6 days 06:19:00,0 days 00:16:42.111111111
173,21 days 05:59:24,0 days 01:18:39.701799485
174,10 days 04:02:12,0 days 00:16:13.982261640
175,10 days 09:24:45,0 days 00:31:34.272151898
176,1 days 09:16:35,0 days 00:23:29.352941176
177,3 days 19:43:47,0 days 00:19:22.771126760
178,13 days 00:58:22,0 days 00:18:02.326609029
179,6 days 16:36:16,0 days 00:13:09.857923497
180,3 days 16:56:47,0 days 00:16:56.530158730
181,4 days 10:42:24,0 days 00:13:51.480519480
182,2 days 17:22:18,0 days 00:27:03.020689655
184,132 days 03:06:12,0 days 01:25:56.265582655
185,2 days 16:38:19,0 days 00:16:21.852320675
186,5 days 16:15:09,0 days 00:16:21.018000
187,13 days 00:07:56,0 days 00:20:38.893054024
188,8 days 09:11:05,0 days 00:18:46.384136858
189,1 days 11:25:24,0 days 00:23:06.130434782
190,0 days 09:55:26,0 days 00:22:03.185185185
191,2 days 06:10:23,0 days 00:14:38.481981981
192,0 days 10:04:36,0 days 00:31:49.263157894
193,2 days 22:23:37,0 days 00:20:30.179611650
194,4 days 00:49:13,0 days 00:21:50.349624060
195,4 days 16:14:54,0 days 00:22:54.469387755
197,6 days 07:24:26,0 days 00:21:13.518691588
198,3 days 09:26:05,0 days 00:26:16.155913978
199,5 days 14:47:31,0 days 00:21:03.674479166
200,5 days 06:30:43,0 days 00:30:43.898785425
201,5 days 23:25:45,0 days 00:26:43.555900621
202,7 days 06:33:43,0 days 00:13:13.463383838
204,9 days 06:32:52,0 days 00:35:13.910290237
205,5 days 19:03:03,0 days 00:12:09.712827988
206,3 days 09:09:19,0 days 00:22:14.059360730
207,4 days 11:10:15,0 days 00:15:47.948402948
208,2 days 10:11:45,0 days 00:21:17.469512195
209,6 days 08:05:15,0 days 00:46:19.263959390
210,1 days 22:39:10,0 days 00:37:49.594594594
211,9 days 06:05:01,0 days 00:27:52.596234309
212,12 days 13:56:38,0 days 00:33:44.204841713
213,10 days 04:13:11,0 days 00:14:51.674442190
214,5 days 03:59:54,0 days 00:16:06.220779220
215,7 days 01:43:35,0 days 00:18:47.333948339
216,19 days 05:13:42,0 days 00:14:31.155299055
218,18 days 08:05:29,0 days 02:01:07.564220183
219,3 days 07:29:42,0 days 00:21:23.327354260
220,162 days 18:01:59,0 days 01:13:23.920764171
221,22 days 00:30:57,0 days 00:45:37.635971223
222,34 days 12:15:26,0 days 00:14:15.834098737
223,3 days 20:36:45,0 days 00:20:07.989130434
224,6 days 02:13:57,0 days 00:18:49.693133047
226,2 days 14:09:19,0 days 00:14:51.470119521
227,15 days 07:46:53,0 days 00:22:52.034196891
228,6 days 22:16:01,0 days 00:30:36.076687116
229,3 days 03:33:36,0 days 00:13:22.407079646
230,4 days 00:49:45,0 days 00:19:25.836120401
231,1 days 14:56:40,0 days 00:16:00.273972602
232,17 days 05:35:57,0 days 00:14:08.892246294
233,15 days 11:25:59,0 days 00:20:01.400718778
234,3 days 08:38:30,0 days 00:28:37.810650887
235,21 days 00:35:13,0 days 00:15:50.556253270
236,10 days 16:17:05,0 days 00:18:19.672228843
237,2 days 03:22:46,0 days 00:17:49.167630057
238,4 days 05:45:48,0 days 00:19:04.837500
239,3 days 05:23:57,0 days 00:24:11.234375
240,6 days 08:07:26,0 days 00:31:41.548611111
241,1 days 14:46:06,0 days 00:15:43.013513513
242,2 days 23:20:33,0 days 00:13:56.589576547
