new출발터미널,총이용시간,평균이용시간
1,23 days 23:32:19,0 days 00:18:04.217163788
2,67 days 22:27:23,0 days 00:16:10.670249710
4,30 days 12:43:44,0 days 00:22:25.142274349
5,23 days 07:34:09,0 days 00:18:25.625137211
6,62 days 03:34:28,0 days 00:22:59.668036998
7,36 days 20:45:32,0 days 00:20:49.071372549
8,70 days 20:47:05,0 days 00:13:58.858062748
9,83 days 01:50:16,0 days 00:23:48.136888181
10,29 days 19:58:38,0 days 00:20:59.168539325
11,55 days 21:09:06,0 days 00:12:55.356672555
12,34 days 15:44:22,0 days 00:15:00.529924812
13,16 days 20:00:28,0 days 00:15:01.691258524
14,9 days 16:20:40,0 days 00:20:00.057388809
15,37 days 10:13:40,0 days 00:18:29.303602058
16,2 days 22:05:37,0 days 00:38:56.453703703
17,47 days 05:35:02,0 days 00:23:28.664825681
18,72 days 17:12:34,0 days 00:13:49.078120876
19,5 days 23:29:12,0 days 00:18:00.652719665
20,52 days 02:30:53,0 days 00:22:44.611397393
21,35 days 22:23:43,0 days 00:17:02.603096179
22,25 days 01:52:38,0 days 00:13:17.775405007
23,22 days 18:00:44,0 days 00:14:21.746602367
24,23 days 01:27:08,0 days 00:12:55.867601246
26,10 days 15:56:39,0 days 00:19:11.748750
27,106 days 18:43:01,0 days 00:14:44.457961844
28,104 days 04:08:17,0 days 00:17:21.724189814
29,13 days 20:34:28,0 days 00:15:13.945038167
30,88 days 16:56:11,0 days 00:26:09.240581490
32,30 days 14:59:16,0 days 00:17:16.410497453
33,5 days 18:14:59,0 days 00:28:30.305841924
34,63 days 14:43:02,0 days 00:13:40.693146184
35,60 days 13:32:36,0 days 00:16:14.805514157
36,4 days 21:38:59,0 days 00:21:08.080838323
37,14 days 10:10:56,0 days 00:14:56.587050359
38,32 days 20:32:54,0 days 00:21:52.424410540
39,47 days 16:51:55,0 days 00:13:17.969990319
40,22 days 20:57:18,0 days 00:16:24.672645739
41,49 days 09:21:33,0 days 00:11:35.678676230
42,50 days 14:52:54,0 days 00:14:46.235866261
43,28 days 14:57:56,0 days 00:12:51.630577223
44,14 days 12:34:04,0 days 00:13:33.776913099
45,8 days 07:45:44,0 days 00:18:19.608562691
46,13 days 09:07:38,0 days 00:15:17.506349206
47,7 days 08:54:18,0 days 00:12:32.787234042
48,31 days 12:59:09,0 days 00:15:15.401074907
49,21 days 21:34:55,0 days 00:17:48.376623376
50,9 days 18:43:44,0 days 00:14:27.581108829
51,14 days 10:18:58,0 days 00:20:38.071499503
52,45 days 04:30:31,0 days 00:25:31.671635935
53,49 days 22:43:23,0 days 00:18:52.949067996
54,6 days 03:40:14,0 days 00:13:19.419548872
55,16 days 17:34:58,0 days 00:14:43.678484107
56,29 days 01:44:32,0 days 00:22:07.627906976
57,28 days 03:58:37,0 days 00:20:07.700744416
58,18 days 17:49:08,0 days 00:14:02.971369078
59,26 days 15:49:10,0 days 00:20:02.165970772
60,16 days 00:43:24,0 days 00:18:20.082605242
61,48 days 17:03:48,0 days 00:23:02.143842364
62,17 days 18:11:51,0 days 00:15:47.105555555
63,14 days 23:57:38,0 days 00:15:37.668596237
64,10 days 14:23:00,0 days 00:15:42.160493827
65,50 days 06:25:04,0 days 00:19:09.273352738
66,20 days 09:48:09,0 days 00:15:12.203310915
67,2 days 03:35:56,0 days 00:31:16.323232323
68,7 days 20:46:57,0 days 00:23:18.388888888
69,20 days 02:25:31,0 days 00:15:09.759559979
70,8 days 06:37:18,0 days 00:18:05.034901365
71,5 days 19:38:50,0 days 00:19:31.864801864
72,23 days 15:47:55,0 days 00:17:22.895408163
73,74 days 08:05:17,0 days 00:23:17.762132752
74,24 days 01:39:39,0 days 00:17:32.951392405
75,85 days 15:02:46,0 days 00:21:56.868280526
76,5 days 23:41:03,0 days 00:14:53.373056994
77,36 days 02:52:00,0 days 00:22:46.938239159
78,32 days 19:05:50,0 days 00:16:22.166377816
79,11 days 15:38:56,0 days 00:17:40.838777660
80,23 days 10:23:31,0 days 00:16:15.246146435
81,27 days 05:24:44,0 days 00:18:40.668889947
82,21 days 02:52:26,0 days 00:28:34.986842105
83,16 days 19:14:29,0 days 00:36:03.441132637
84,11 days 12:20:19,0 days 00:18:58.236842105
85,16 days 11:26:06,0 days 00:13:55.426056338
86,29 days 20:37:04,0 days 00:14:04.736083824
87,59 days 23:24:18,0 days 00:29:45.616126809
89,78 days 19:39:42,0 days 03:27:29.692870201
90,19 days 15:56:29,0 days 00:31:17.335911602
91,3 days 15:17:40,0 days 00:30:16.531791907
92,15 days 13:44:36,0 days 00:33:07.409158050
93,32 days 21:27:32,0 days 00:15:29.382603008
94,63 days 10:44:49,0 days 05:07:37.538720538
95,16 days 16:12:56,0 days 00:23:14.749273959
96,10 days 18:56:05,0 days 01:38:19.778481012
97,25 days 18:32:30,0 days 03:09:20.969387755
101,35 days 13:56:06,0 days 00:19:16.571106094
102,2 days 08:51:31,0 days 00:28:40.092436974
103,14 days 06:50:37,0 days 00:17:22.429898648
104,23 days 16:23:44,0 days 00:20:09.352245862
105,35 days 18:35:18,0 days 00:13:32.971593897
106,27 days 08:13:40,0 days 00:34:41.427312775
107,29 days 11:19:07,0 days 00:21:28.637145748
108,17 days 13:44:04,0 days 00:18:57.261423220
109,57 days 15:41:36,0 days 00:19:22.224918338
110,20 days 23:12:24,0 days 00:13:24.058588548
112,5 days 20:37:02,0 days 00:13:06.059006211
113,18 days 22:40:48,0 days 00:14:05.916279069
114,3 days 11:44:58,0 days 00:18:49.205992509
115,13 days 06:55:16,0 days 00:18:19.727969348
116,22 days 14:22:13,0 days 00:12:47.203536345
117,56 days 00:27:02,0 days 00:19:30.218085106
118,42 days 10:03:09,0 days 00:18:01.117699115
119,33 days 13:13:44,0 days 00:21:52.873188405
120,27 days 01:05:00,0 days 00:18:15.499296765
121,38 days 23:34:25,0 days 00:17:20.811186650
123,26 days 05:39:22,0 days 00:18:32.794305351
124,23 days 19:33:02,0 days 00:14:11.648178807
125,43 days 03:34:59,0 days 00:20:11.995773732
126,35 days 09:18:04,0 days 00:19:17.699356304
127,32 days 18:09:49,0 days 00:15:00.760343730
128,17 days 11:23:30,0 days 00:14:54.437203791
129,43 days 10:56:21,0 days 00:18:08.284347826
130,2 days 22:03:50,0 days 00:19:06.500000
131,15 days 02:15:06,0 days 00:12:43.081334113
132,43 days 21:34:41,0 days 00:20:09.850398724
134,55 days 16:01:58,0 days 00:28:50.736955739
135,33 days 23:04:17,0 days 00:14:25.817940395
136,29 days 12:26:08,0 days 00:16:10.459665144
137,6 days 14:56:53,0 days 00:16:08.211505922
138,39 days 12:51:20,0 days 00:20:09.589235127
139,35 days 08:12:53,0 days 00:14:22.104178430
140,30 days 05:24:50,0 days 00:15:53.794740686
141,20 days 13:43:28,0 days 00:18:48.513015873
142,30 days 08:10:11,0 days 00:13:36.130448318
143,11 days 23:35:55,0 days 00:19:28.572234762
144,13 days 09:58:29,0 days 00:19:39.154628687
145,15 days 02:59:17,0 days 01:17:30.380782918
146,9 days 05:19:19,0 days 00:18:23.544321329
147,5 days 13:52:31,0 days 00:15:09.341509433
148,10 days 17:16:48,0 days 00:14:09.732110091
149,2 days 04:53:24,0 days 00:20:12.764331210
150,0 days 23:30:51,0 days 00:22:45.338709677
151,4 days 02:29:45,0 days 00:17:57.765957446
152,7 days 03:15:06,0 days 00:13:53.116216216
153,9 days 09:21:18,0 days 00:20:44.291411042
155,5 days 12:09:22,0 days 00:21:32.831521739
156,0 days 05:48:43,0 days 00:21:47.687500
157,1 days 01:59:46,0 days 01:02:23.440000
158,4 days 01:12:48,0 days 00:16:09.440443213
160,1 days 01:12:52,0 days 00:13:30.464285714
162,6 days 00:22:51,0 days 00:20:20.119718309
164,5 days 15:18:40,0 days 00:20:14.763092269
165,11 days 08:57:34,0 days 00:25:11.775384615
166,5 days 16:41:34,0 days 00:38:08.809302325
167,17 days 04:31:41,0 days 00:17:19.258922323
168,59 days 20:47:56,0 days 00:14:25.976226351
169,0 days 01:55:57,0 days 00:04:38.280000
170,38 days 22:34:55,0 days 00:18:33.702416418
171,8 days 22:30:11,0 days 00:17:27.776119402
173,4 days 20:13:58,0 days 00:13:46.952569169
174,14 days 10:24:13,0 days 00:16:19.617439120
175,9 days 15:48:53,0 days 00:15:30.360089186
176,2 days 01:52:44,0 days 00:18:08.266666666
177,9 days 10:16:05,0 days 00:25:16.880819366
178,13 days 14:23:20,0 days 00:13:37.675713291
179,9 days 06:12:42,0 days 00:13:36.287755102
180,7 days 19:07:23,0 days 00:17:44.206951026
181,8 days 16:44:22,0 days 00:16:28.765789473
182,2 days 20:12:00,0 days 00:23:55.789473684
184,30 days 14:00:18,0 days 00:13:58.862857142
185,6 days 13:02:01,0 days 00:22:13.304245283
186,11 days 06:06:36,0 days 00:19:45.848780487
187,10 days 08:53:16,0 days 00:14:16.592734225
188,10 days 19:47:47,0 days 00:15:23.264560710
189,2 days 16:13:54,0 days 00:29:25.145038167
190,1 days 07:20:46,0 days 00:38:22.979591836
191,6 days 21:33:14,0 days 00:21:21.707526881
192,1 days 07:55:43,0 days 00:50:24.815789473
193,5 days 01:45:10,0 days 00:19:04.412532637
194,8 days 02:29:52,0 days 00:22:03.614366729
195,9 days 21:03:26,0 days 00:27:14.877394636
197,12 days 07:29:46,0 days 00:21:48.469864698
198,6 days 09:48:38,0 days 00:22:30.531707317
199,10 days 06:34:15,0 days 00:22:24.931818181
200,9 days 17:09:40,0 days 00:26:35.779467680
201,13 days 12:40:30,0 days 00:27:33.224893917
202,10 days 23:51:42,0 days 00:16:34.661780104
204,8 days 16:14:48,0 days 00:21:32.565517241
205,14 days 10:39:32,0 days 00:18:00.495238095
206,6 days 14:47:49,0 days 00:23:21.149509803
207,6 days 08:53:52,0 days 00:12:34.016438356
208,5 days 00:14:38,0 days 00:24:37.399317406
209,5 days 15:02:56,0 days 00:36:20.161434977
210,2 days 08:24:50,0 days 00:15:31.605504587
211,34 days 22:21:27,0 days 01:16:19.798179059
212,23 days 05:19:18,0 days 00:26:52.827974276
213,13 days 23:53:45,0 days 00:16:15.181451612
214,11 days 02:07:33,0 days 00:18:44.475352112
215,11 days 18:56:04,0 days 00:19:58.310588235
216,30 days 17:39:04,0 days 00:16:01.108939558
