new출발터미널,총이용시간,평균이용시간
1,22 days 15:54:19,0 days 00:18:18.182277061
2,83 days 16:33:43,0 days 00:20:56.441876629
4,26 days 22:08:16,0 days 00:20:49.245972073
5,17 days 20:13:39,0 days 00:18:41.177454545
6,44 days 22:01:06,0 days 00:18:22.518750
7,44 days 05:27:22,0 days 00:24:03.612391386
8,67 days 11:40:41,0 days 00:15:40.458225806
9,66 days 04:13:08,0 days 00:18:59.870015948
10,66 days 09:08:02,0 days 00:46:51.412745098
11,62 days 14:10:05,0 days 00:15:45.585766742
12,40 days 01:06:23,0 days 00:17:05.788022531
13,24 days 06:07:59,0 days 00:19:25.561179087
14,9 days 16:57:20,0 days 00:22:02.776025236
15,36 days 19:36:32,0 days 00:21:30.987012987
16,3 days 03:44:50,0 days 00:31:07.739726027
17,33 days 06:28:16,0 days 00:19:14.879871434
18,76 days 11:32:16,0 days 00:13:48.789163426
19,10 days 17:33:44,0 days 00:19:20.480600750
20,54 days 07:12:18,0 days 00:23:37.811423390
21,33 days 11:50:49,0 days 00:17:37.306905370
22,29 days 11:28:56,0 days 00:15:37.062545989
23,27 days 04:43:40,0 days 00:16:59.444685466
24,27 days 06:09:50,0 days 00:16:20.428809325
26,11 days 14:34:10,0 days 00:21:03.035264483
27,127 days 21:34:14,0 days 00:16:43.127632534
28,111 days 20:31:09,0 days 00:20:21.624194160
29,15 days 20:39:01,0 days 00:19:00.050748752
30,84 days 22:07:40,0 days 00:28:09.834177798
32,29 days 19:25:32,0 days 00:17:54.481435127
33,4 days 15:30:37,0 days 00:23:13.878472222
34,55 days 09:40:23,0 days 00:14:33.667275050
35,65 days 06:16:44,0 days 00:18:38.548700654
36,4 days 10:10:08,0 days 00:21:26.895622895
37,15 days 14:32:11,0 days 00:17:24.408210689
38,33 days 03:29:59,0 days 00:26:08.345564074
39,46 days 11:12:42,0 days 00:13:46.592958616
40,22 days 10:01:31,0 days 00:18:19.257094211
41,52 days 14:45:29,0 days 00:13:40.861141206
42,50 days 06:40:13,0 days 00:16:28.398862343
43,31 days 16:14:26,0 days 00:13:54.156049984
44,13 days 19:30:27,0 days 00:15:04.111363636
45,11 days 19:10:28,0 days 00:26:10.767334360
46,12 days 04:11:26,0 days 00:18:26.084121976
47,8 days 20:55:08,0 days 00:18:40.625730994
48,34 days 16:30:43,0 days 00:17:38.651713175
49,18 days 23:21:17,0 days 00:17:46.543266102
50,10 days 23:32:09,0 days 00:18:30.923887587
51,10 days 06:17:22,0 days 00:15:45.247334754
52,70 days 11:40:19,0 days 00:28:26.843890134
53,47 days 15:24:34,0 days 00:19:34.065601825
54,8 days 06:02:38,0 days 00:21:26.927797833
55,17 days 10:44:25,0 days 00:17:13.926611796
56,26 days 16:08:41,0 days 00:20:21.909331919
57,23 days 00:39:24,0 days 00:18:38.989876265
58,22 days 11:13:11,0 days 00:19:12.726247030
59,21 days 02:49:52,0 days 00:17:14.349206349
60,14 days 18:06:33,0 days 00:16:35.154566744
61,32 days 09:22:29,0 days 00:17:43.278495440
62,19 days 21:20:51,0 days 00:17:20.224576271
63,14 days 17:36:44,0 days 00:15:45.768202080
64,13 days 06:01:25,0 days 00:20:35.043149946
65,42 days 21:29:40,0 days 00:17:28.424328147
66,21 days 10:14:12,0 days 00:20:07.600782778
67,3 days 00:02:44,0 days 00:43:13.640000
