new출발터미널,총이용시간,평균이용시간
1,24 days 21:22:41,0 days 00:20:31.002289639
2,72 days 12:17:09,0 days 00:18:20.286090621
4,40 days 10:00:54,0 days 00:32:10.378109452
5,20 days 19:56:40,0 days 00:19:59.067288474
6,43 days 16:55:55,0 days 00:16:05.028111423
7,34 days 23:45:53,0 days 00:20:09.261200
8,72 days 07:37:48,0 days 00:15:32.438143560
9,58 days 16:39:34,0 days 00:18:06.835405057
10,34 days 20:19:02,0 days 00:24:32.965753424
11,60 days 17:18:48,0 days 00:14:00.084547638
12,33 days 16:55:20,0 days 00:15:01.585139318
13,24 days 18:25:02,0 days 00:22:00.927160493
14,10 days 02:46:22,0 days 00:19:13.010554089
15,34 days 11:37:29,0 days 00:19:12.591489361
16,2 days 15:30:39,0 days 00:31:29.578512396
17,54 days 05:48:56,0 days 00:28:53.827598964
18,75 days 09:49:27,0 days 00:13:18.549699718
19,6 days 10:47:07,0 days 00:17:55.727799227
20,56 days 18:12:29,0 days 00:25:39.701412872
21,37 days 07:23:02,0 days 00:19:46.812223858
22,27 days 23:52:14,0 days 00:15:57.535233570
23,25 days 11:10:44,0 days 00:17:10.076779026
24,26 days 11:43:49,0 days 00:15:55.586221294
26,12 days 11:38:05,0 days 00:21:28.751493428
27,127 days 19:56:49,0 days 00:15:56.491642850
28,101 days 03:58:08,0 days 00:18:29.646819855
29,13 days 00:26:25,0 days 00:15:31.884838442
30,74 days 12:38:58,0 days 00:23:47.746784922
32,36 days 04:49:43,0 days 00:21:05.284385113
33,3 days 14:36:59,0 days 00:25:59.095000
34,63 days 20:54:24,0 days 00:14:15.708481935
35,83 days 03:23:24,0 days 00:22:21.689204333
36,4 days 05:37:24,0 days 00:19:21.409523809
37,13 days 14:10:40,0 days 00:14:40.239880059
38,25 days 07:46:17,0 days 00:19:54.310589519
39,49 days 01:38:46,0 days 00:14:20.468033285
40,18 days 09:43:07,0 days 00:14:13.562533548
41,46 days 01:25:06,0 days 00:12:13.684734513
42,43 days 03:47:26,0 days 00:13:17.102607952
43,36 days 06:20:32,0 days 00:15:19.645435867
44,14 days 01:01:38,0 days 00:14:08.460139860
45,7 days 17:53:44,0 days 00:19:02.020477815
46,14 days 13:17:26,0 days 00:17:58.427101200
47,6 days 21:39:19,0 days 00:15:34.731974921
48,28 days 18:52:34,0 days 00:14:52.412630068
49,20 days 12:59:50,0 days 00:18:39.035308953
50,11 days 22:55:40,0 days 00:16:56.673228346
51,13 days 12:02:54,0 days 00:20:06.384694932
52,52 days 11:27:13,0 days 00:28:37.436742424
53,72 days 15:37:29,0 days 00:28:07.378763440
54,6 days 18:20:04,0 days 00:15:39.556270096
55,17 days 03:33:03,0 days 00:15:41.285260482
56,27 days 23:00:48,0 days 00:20:13.283776996
57,26 days 18:26:18,0 days 00:19:47.867488443
58,17 days 03:32:09,0 days 00:14:31.487647058
59,18 days 01:59:56,0 days 00:15:03.641411220
60,14 days 05:33:01,0 days 00:17:25.562074829
61,31 days 12:20:21,0 days 00:15:52.701539538
62,19 days 20:00:30,0 days 00:17:15.425981873
63,14 days 19:35:24,0 days 00:15:16.337866857
64,17 days 11:15:57,0 days 00:24:39.761764705
65,40 days 23:43:05,0 days 00:16:44.648226950
66,22 days 03:44:36,0 days 00:17:34.116740088
67,2 days 22:56:02,0 days 00:34:36.113821138
68,9 days 09:21:40,0 days 00:24:51.360294117
69,25 days 01:10:59,0 days 00:19:29.237709346
70,6 days 15:01:01,0 days 00:15:17.405448717
71,6 days 18:16:40,0 days 00:23:58.916256157
72,22 days 11:37:08,0 days 00:18:58.703399765
73,73 days 17:51:03,0 days 00:25:04.833018422
74,26 days 12:57:25,0 days 00:20:26.227272727
75,81 days 12:31:03,0 days 00:22:33.210951008
76,6 days 17:35:21,0 days 00:14:45.420091324
77,29 days 12:44:02,0 days 00:19:00.564148413
78,35 days 04:38:19,0 days 00:20:24.113929146
79,9 days 22:54:37,0 days 00:16:28.594252873
80,24 days 05:08:11,0 days 00:16:42.439386679
81,25 days 08:38:52,0 days 00:18:12.833915211
82,11 days 14:29:15,0 days 00:17:55.702789699
83,8 days 20:52:23,0 days 00:20:46.086178861
84,9 days 13:57:40,0 days 00:16:25.547619047
85,17 days 06:00:58,0 days 00:13:50.801560758
86,37 days 20:02:02,0 days 00:18:24.365540540
87,54 days 08:46:01,0 days 00:28:43.728807339
89,7 days 17:01:21,0 days 00:17:27.297169811
90,18 days 17:25:29,0 days 00:33:57.693954659
91,1 days 17:22:31,0 days 00:26:59.032608695
92,7 days 02:02:17,0 days 00:16:10.106180665
93,28 days 10:32:11,0 days 00:14:21.848824973
94,3 days 18:01:04,0 days 00:24:19.747747747
95,14 days 15:24:00,0 days 00:23:38.206278026
96,0 days 17:33:18,0 days 00:17:33.300000
97,3 days 08:48:15,0 days 00:15:38.370967741
101,47 days 18:40:43,0 days 00:27:41.184305835
102,25 days 17:24:33,0 days 03:58:59.825806451
103,13 days 00:04:16,0 days 00:15:08.210185933
104,21 days 18:22:39,0 days 00:21:54.157232704
105,35 days 06:45:13,0 days 00:13:13.624837281
106,15 days 10:20:23,0 days 00:20:06.536651583
107,28 days 03:06:13,0 days 00:23:11.169433314
108,15 days 16:14:00,0 days 00:17:41.473354231
109,51 days 14:29:16,0 days 00:17:53.316321617
110,20 days 20:47:04,0 days 00:14:48.528339083
112,5 days 02:57:54,0 days 00:13:00.730158730
113,17 days 23:32:31,0 days 00:15:33.063663663
114,3 days 10:51:26,0 days 00:22:42.036529680
115,10 days 23:11:21,0 days 00:17:21.187912087
116,21 days 05:29:25,0 days 00:12:18.689085783
117,50 days 16:14:21,0 days 00:20:17.592046718
118,47 days 21:41:31,0 days 00:20:59.169759659
119,42 days 19:40:09,0 days 00:30:28.773603559
120,29 days 01:22:46,0 days 00:19:15.877532228
121,38 days 11:29:52,0 days 00:20:10.703568827
123,28 days 00:34:18,0 days 00:19:34.227934044
124,33 days 04:18:44,0 days 00:22:36.066225165
125,41 days 09:23:11,0 days 00:20:34.020358868
126,39 days 01:41:56,0 days 00:22:00.186155651
127,27 days 10:55:37,0 days 00:15:48.854800
128,17 days 00:42:29,0 days 00:17:06.761339846
129,29 days 01:49:48,0 days 00:13:41.244851258
130,3 days 06:47:37,0 days 00:22:30.747619047
131,16 days 02:46:16,0 days 00:13:52.760765550
132,41 days 14:42:42,0 days 00:20:33.400343053
134,34 days 15:59:20,0 days 00:17:55.461400359
135,30 days 07:50:17,0 days 00:14:15.720770738
136,30 days 03:56:07,0 days 00:15:24.172695035
137,7 days 01:13:32,0 days 00:16:24.187399030
138,35 days 00:54:57,0 days 00:19:59.404516640
139,39 days 05:21:03,0 days 00:16:17.462647822
140,25 days 22:47:41,0 days 00:16:51.304014433
141,20 days 15:02:09,0 days 00:20:26.516861665
142,31 days 01:22:18,0 days 00:13:52.042790697
143,8 days 11:28:21,0 days 00:17:32.443965517
144,15 days 12:47:48,0 days 00:27:14.674786845
145,2 days 23:22:42,0 days 00:15:07.992932862
