new출발터미널,총이용시간,평균이용시간
1,19 days 02:46:58,0 days 00:16:13.257513258
2,69 days 05:06:29,0 days 00:17:48.809472743
4,28 days 09:55:03,0 days 00:23:03.043943661
5,25 days 13:54:45,0 days 00:23:14.375394321
6,38 days 00:55:55,0 days 00:15:47.134005763
7,39 days 03:44:59,0 days 00:21:41.692574066
8,59 days 07:45:20,0 days 00:14:14.395732622
9,55 days 04:22:48,0 days 00:18:23.139287366
10,27 days 08:34:15,0 days 00:17:55.366242038
11,50 days 15:17:14,0 days 00:13:58.932694151
12,35 days 21:24:33,0 days 00:14:48.814273430
13,16 days 21:00:32,0 days 00:14:22.230632761
14,12 days 18:47:30,0 days 00:20:32.645089285
15,34 days 02:20:24,0 days 00:19:20.765957446
16,2 days 10:27:32,0 days 00:29:58.735042735
17,38 days 20:29:32,0 days 00:23:03.747732893
18,61 days 07:05:38,0 days 00:12:33.226852510
19,10 days 06:51:46,0 days 00:18:33.666666666
20,36 days 11:43:18,0 days 00:17:39.340725806
21,38 days 12:55:10,0 days 00:20:06.853932584
22,25 days 04:24:50,0 days 00:13:51.126814362
23,23 days 07:54:37,0 days 00:14:04.085845896
24,23 days 04:42:58,0 days 00:13:50.575217571
26,9 days 10:05:45,0 days 00:19:44.781659388
27,100 days 10:59:09,0 days 00:14:48.751689535
28,84 days 16:16:22,0 days 00:17:28.464029807
29,18 days 16:17:59,0 days 00:18:46.224005582
30,64 days 15:18:36,0 days 00:21:43.621848739
32,26 days 08:04:04,0 days 00:15:32.176976648
33,5 days 12:10:51,0 days 00:25:01.107255520
34,68 days 12:16:47,0 days 00:16:28.710038416
35,52 days 10:12:05,0 days 00:17:42.769826372
36,6 days 08:39:20,0 days 00:21:06.267281105
37,16 days 12:42:52,0 days 00:16:28.354325259
38,27 days 00:14:06,0 days 00:22:33.622969837
39,38 days 08:48:07,0 days 00:13:32.273217348
40,21 days 15:02:31,0 days 00:16:10.171858774
41,46 days 09:11:25,0 days 00:12:39.568802122
42,46 days 03:05:21,0 days 00:14:47.446225784
43,25 days 03:23:32,0 days 00:14:16.888362919
44,15 days 22:31:29,0 days 00:16:14.585279547
45,9 days 14:19:09,0 days 00:20:39.385650224
46,12 days 00:38:39,0 days 00:17:31.739878542
47,9 days 03:12:23,0 days 00:15:03.943871706
48,45 days 15:35:25,0 days 00:26:04.508131693
49,20 days 22:52:41,0 days 00:16:54.207843137
50,10 days 21:56:37,0 days 00:17:52.806598407
51,14 days 21:27:47,0 days 00:16:47.726703210
52,64 days 08:39:09,0 days 00:23:21.045351473
53,42 days 17:55:23,0 days 00:19:25.086119873
54,7 days 02:50:39,0 days 00:15:40.426605504
55,18 days 18:46:47,0 days 00:19:47.130212143
56,22 days 08:50:45,0 days 00:16:49.741379310
57,24 days 03:26:54,0 days 00:18:18.480252764
58,19 days 19:36:04,0 days 00:15:07.828207847
59,15 days 03:32:51,0 days 00:13:30.384520123
60,12 days 19:38:04,0 days 00:18:47.784114052
61,31 days 21:57:59,0 days 00:15:36.961943594
62,16 days 02:47:02,0 days 00:14:20.050648548
63,12 days 11:38:33,0 days 00:15:50.407929515
64,11 days 15:56:47,0 days 00:15:53.459791863
65,43 days 04:40:11,0 days 00:18:10.912306343
66,24 days 20:15:32,0 days 00:21:40.928484848
67,2 days 04:23:29,0 days 00:53:16.762711864
68,10 days 20:38:49,0 days 00:27:03.406574394
69,20 days 03:53:16,0 days 00:18:28.139949109
70,6 days 15:01:13,0 days 00:15:13.035087719
71,5 days 22:42:39,0 days 00:22:04.121134020
72,45 days 13:18:20,0 days 00:36:52.422709387
73,79 days 16:42:47,0 days 00:25:25.424678777
74,22 days 05:11:54,0 days 00:18:18.120137299
75,66 days 01:20:38,0 days 00:18:44.800551832
76,6 days 10:30:41,0 days 00:19:46.014925373
77,25 days 21:38:57,0 days 00:17:02.823126142
78,24 days 23:24:01,0 days 00:15:28.902712010
79,11 days 08:25:55,0 days 00:15:29.625592417
80,24 days 05:43:32,0 days 00:16:16.322610722
81,22 days 07:35:30,0 days 00:16:59.096194503
82,14 days 22:39:30,0 days 00:18:28.300429184
83,15 days 04:15:40,0 days 00:24:53.553530751
84,11 days 19:07:03,0 days 00:19:23.496575342
85,14 days 23:02:38,0 days 00:13:53.370728562
86,32 days 04:29:51,0 days 00:16:30.028835884
87,40 days 08:08:08,0 days 00:20:55.055095426
89,10 days 21:29:07,0 days 00:21:19.004076086
90,24 days 19:56:57,0 days 00:36:54.052631578
91,2 days 05:09:01,0 days 00:25:30.728000
92,9 days 01:44:00,0 days 00:25:10.289017341
93,25 days 05:56:24,0 days 00:14:22.207114624
94,7 days 11:26:12,0 days 00:23:36.605263157
95,22 days 12:38:57,0 days 00:28:16.893635571
96,1 days 20:01:11,0 days 00:18:51.935714285
97,15 days 11:24:09,0 days 00:39:51.858676207
101,37 days 15:50:15,0 days 00:19:04.098101265
102,3 days 05:53:55,0 days 00:21:08.936651583
103,15 days 20:21:08,0 days 00:18:37.769795918
104,20 days 23:25:16,0 days 00:18:29.128518971
105,33 days 10:45:00,0 days 00:13:18.314917127
106,19 days 02:01:08,0 days 00:26:39.290009699
107,24 days 05:30:09,0 days 00:20:43.116983372
108,17 days 01:21:10,0 days 00:17:04.805285118
109,42 days 11:18:18,0 days 00:17:06.145973154
110,21 days 13:35:12,0 days 00:12:57.027522935
112,5 days 01:22:17,0 days 00:15:12.185803757
113,15 days 21:14:14,0 days 00:14:35.848117421
114,2 days 08:30:16,0 days 00:22:45.208053691
115,12 days 08:34:39,0 days 00:17:41.311133200
116,20 days 12:24:38,0 days 00:12:34.010208421
117,51 days 04:39:15,0 days 00:25:26.805315843
118,45 days 21:48:27,0 days 00:18:57.839070567
119,28 days 19:43:13,0 days 00:21:07.919042769
120,45 days 12:41:20,0 days 00:19:35.636580992
121,39 days 14:03:34,0 days 00:19:23.733923103
123,29 days 02:30:28,0 days 00:18:30.701413427
124,24 days 13:20:05,0 days 00:15:14.879258300
125,34 days 11:50:35,0 days 00:18:22.973723168
126,31 days 09:08:29,0 days 00:19:23.651931330
127,34 days 00:48:22,0 days 00:15:59.380750407
128,12 days 20:58:20,0 days 00:16:14.846625766
129,27 days 15:24:12,0 days 00:13:04.061720288
130,2 days 05:58:40,0 days 00:20:29.873417721
131,14 days 14:51:40,0 days 00:14:07.149564050
132,36 days 21:30:10,0 days 00:17:54.421975058
134,26 days 15:33:14,0 days 00:17:14.783820224
135,33 days 19:04:30,0 days 00:14:43.470499243
136,35 days 12:04:57,0 days 00:16:53.043923381
137,5 days 13:51:12,0 days 00:13:52.248704663
138,34 days 12:53:40,0 days 00:19:28.828828828
139,31 days 04:02:32,0 days 00:14:35.472041612
140,26 days 08:31:09,0 days 00:14:26.464611872
141,19 days 14:18:45,0 days 00:19:48.992275280
142,26 days 20:31:40,0 days 00:14:35.915439788
143,16 days 14:06:15,0 days 00:20:42.996530789
144,13 days 01:36:40,0 days 00:20:44.762954796
145,8 days 09:29:04,0 days 00:28:55.272727272
146,7 days 01:15:17,0 days 00:16:35.616013071
147,9 days 16:50:32,0 days 00:18:11.447916666
148,7 days 20:57:15,0 days 00:12:52.116912599
149,1 days 20:35:20,0 days 00:21:55.737704918
150,0 days 20:27:43,0 days 00:19:48.112903225
151,3 days 09:53:51,0 days 00:13:48.176966292
152,8 days 23:07:04,0 days 00:17:07.087533156
153,10 days 02:33:39,0 days 00:21:03.703328509
155,7 days 01:44:12,0 days 00:24:46.744525547
156,0 days 02:39:27,0 days 00:19:55.875000
157,0 days 09:03:19,0 days 00:22:38.291666666
158,6 days 17:53:41,0 days 00:26:28.068119891
160,1 days 05:27:50,0 days 00:15:47.053571428
162,5 days 18:49:05,0 days 00:20:12.973300970
164,5 days 07:36:56,0 days 00:21:16.155555555
165,12 days 03:00:38,0 days 00:19:26.634743875
166,2 days 01:54:46,0 days 00:20:22.353741496
167,13 days 18:47:15,0 days 00:19:11.677949709
168,52 days 05:09:37,0 days 00:14:22.431083922
169,0 days 00:51:02,0 days 00:03:11.375000
170,31 days 12:43:01,0 days 00:16:49.329751759
171,10 days 05:59:30,0 days 00:17:45.667870036
173,6 days 16:20:42,0 days 00:12:53.782841823
174,14 days 21:57:22,0 days 00:16:19.955893536
175,10 days 11:59:03,0 days 00:16:43.476769911
176,2 days 06:20:24,0 days 00:14:33.321428571
177,10 days 00:47:47,0 days 00:30:48.330490405
178,13 days 06:34:15,0 days 00:13:41.529369627
179,10 days 06:50:30,0 days 00:15:36.385669125
180,8 days 11:22:21,0 days 00:22:45.934701492
181,10 days 19:28:54,0 days 00:17:27.235426008
182,2 days 21:39:48,0 days 00:27:29.921052631
184,21 days 16:58:38,0 days 00:12:23.957953193
185,7 days 16:22:08,0 days 00:26:27.866028708
186,9 days 20:19:20,0 days 00:19:31.845730027
187,13 days 20:00:32,0 days 00:17:32.140845070
188,11 days 11:16:48,0 days 00:16:22.168483647
189,1 days 17:16:04,0 days 00:23:34.895238095
190,1 days 09:47:32,0 days 00:31:40.812500
