new출발터미널,총이용시간,평균이용시간
1,17 days 03:43:12,0 days 00:16:39.455158462
2,53 days 04:27:22,0 days 00:15:53.171956025
4,20 days 08:41:57,0 days 00:20:26.004878048
5,14 days 19:34:34,0 days 00:15:27.589855072
6,36 days 12:21:38,0 days 00:16:42.191232528
7,31 days 13:09:16,0 days 00:19:51.847835592
8,50 days 20:55:31,0 days 00:14:02.986382815
9,41 days 15:21:12,0 days 00:17:13.516805515
10,24 days 20:42:09,0 days 00:19:16.773828756
11,38 days 22:39:45,0 days 00:12:49.973684210
12,27 days 11:51:35,0 days 00:14:37.862158167
13,14 days 12:17:55,0 days 00:14:15.887372013
14,9 days 23:31:22,0 days 00:19:44.453296703
15,23 days 15:18:58,0 days 00:16:41.637076998
16,2 days 09:06:57,0 days 00:32:57.086538461
17,31 days 22:24:38,0 days 00:22:41.835143139
18,72 days 05:55:30,0 days 00:17:32.458270106
19,6 days 15:44:27,0 days 00:16:34.925605536
20,35 days 02:57:51,0 days 00:21:07.615288220
21,23 days 22:12:33,0 days 00:14:53.710765239
22,21 days 03:05:51,0 days 00:13:36.436046511
23,18 days 06:48:07,0 days 00:13:57.585896076
24,21 days 14:49:55,0 days 00:14:52.400860009
26,10 days 17:06:52,0 days 00:25:50.438860971
27,84 days 10:48:42,0 days 00:14:44.212554532
28,70 days 09:59:24,0 days 00:17:12.580448065
29,16 days 01:39:16,0 days 00:17:47.966153846
30,56 days 00:42:41,0 days 00:23:16.296798384
32,29 days 03:20:12,0 days 00:22:13.480932203
33,4 days 03:34:58,0 days 00:25:12.649789029
34,42 days 17:14:46,0 days 00:13:16.135893011
35,43 days 16:53:51,0 days 00:16:59.722117202
36,6 days 03:31:42,0 days 00:20:58.535545023
37,12 days 23:43:39,0 days 00:15:43.834314550
38,22 days 05:28:04,0 days 00:25:07.444270015
39,49 days 03:35:15,0 days 00:18:07.734375
40,17 days 02:44:07,0 days 00:14:42.247613365
41,62 days 19:32:29,0 days 00:20:38.792284866
42,39 days 09:05:32,0 days 00:13:21.302873292
43,22 days 10:14:56,0 days 00:14:52.947465437
44,12 days 17:43:42,0 days 00:14:32.125198098
45,6 days 11:55:05,0 days 00:19:59.369658119
46,9 days 07:22:41,0 days 00:16:24.285189718
47,6 days 13:22:09,0 days 00:13:32.810616929
48,24 days 12:42:38,0 days 00:15:06.095767421
49,18 days 03:48:37,0 days 00:17:48.744550408
50,8 days 16:02:55,0 days 00:16:41.303475935
51,12 days 07:45:33,0 days 00:18:38.417016806
52,57 days 18:15:14,0 days 00:27:47.952540106
53,40 days 04:33:09,0 days 00:20:04.853920888
54,6 days 17:05:44,0 days 00:17:02.828924162
55,14 days 16:29:50,0 days 00:15:32.395297575
56,20 days 09:31:16,0 days 00:19:44.325268817
57,19 days 12:08:57,0 days 00:18:51.858294157
58,14 days 14:01:32,0 days 00:12:14.747521865
59,15 days 07:13:25,0 days 00:16:02.858703568
60,11 days 19:39:12,0 days 00:20:43.790499390
61,33 days 21:39:25,0 days 00:20:15.925695309
62,15 days 10:50:56,0 days 00:16:37.799701046
63,11 days 06:35:47,0 days 00:16:13.173826173
64,13 days 01:15:54,0 days 00:23:42.136191677
65,36 days 10:35:05,0 days 00:18:12.472241498
66,15 days 08:30:08,0 days 00:15:20.616238723
67,1 days 13:21:06,0 days 00:43:56.588235294
68,6 days 08:49:18,0 days 00:22:55.395000
69,17 days 17:09:36,0 days 00:19:11.674943566
70,5 days 13:27:05,0 days 00:12:17.980030721
71,5 days 08:26:55,0 days 00:23:08.633633633
72,22 days 04:18:26,0 days 00:22:26.666198172
73,48 days 07:36:54,0 days 00:18:24.687483461
74,20 days 16:12:49,0 days 00:20:01.324142568
75,55 days 12:02:30,0 days 00:18:49.380593499
76,4 days 20:50:58,0 days 00:17:39.591939546
77,22 days 08:10:14,0 days 00:17:13.305139186
78,32 days 23:42:18,0 days 00:24:54.566334556
79,8 days 17:57:10,0 days 00:15:08.449519230
80,19 days 16:55:03,0 days 00:15:27.289215686
81,20 days 03:23:35,0 days 00:16:45.904624277
82,12 days 21:01:35,0 days 00:23:14.104010025
83,9 days 10:56:36,0 days 00:23:48.314685314
84,10 days 17:45:23,0 days 00:19:07
85,12 days 18:07:06,0 days 00:13:43.021657953
86,22 days 09:28:08,0 days 00:13:52.209892473
87,29 days 05:06:11,0 days 00:18:51.318242940
89,7 days 01:36:24,0 days 00:17:06.191596638
90,18 days 14:58:44,0 days 00:39:50.971768202
91,1 days 04:51:30,0 days 00:19:01.648351648
92,5 days 07:16:16,0 days 00:15:16.352000
93,22 days 01:06:41,0 days 00:14:27.000910332
94,6 days 06:03:43,0 days 00:22:30.557500
95,21 days 10:52:18,0 days 00:25:06.941463414
96,2 days 08:42:14,0 days 00:26:22.434108527
97,4 days 19:24:36,0 days 00:19:40.329545454
101,35 days 07:55:44,0 days 00:21:55.751724137
102,3 days 21:56:31,0 days 00:28:10.955000
103,9 days 23:17:42,0 days 00:16:07.934831460
104,19 days 23:30:50,0 days 00:18:20.223072020
105,23 days 07:53:36,0 days 00:12:28.464909023
106,13 days 05:54:33,0 days 00:21:47.969142857
107,17 days 11:37:00,0 days 00:20:07.529976019
108,15 days 09:59:29,0 days 00:17:15.745723172
109,59 days 14:54:00,0 days 00:30:05.552050473
110,14 days 23:34:36,0 days 00:13:06.915501519
112,4 days 08:33:17,0 days 00:12:35.817269076
113,15 days 08:28:13,0 days 00:16:29.181953765
114,1 days 20:55:45,0 days 00:18:27.842465753
115,10 days 03:43:44,0 days 00:16:39.343963553
116,16 days 06:59:58,0 days 00:12:23.973572938
117,36 days 19:44:14,0 days 00:22:26.932260795
118,33 days 10:08:30,0 days 00:17:44.005158437
119,22 days 03:43:54,0 days 00:19:35.097605893
120,26 days 12:18:09,0 days 00:15:53.262172284
121,28 days 12:07:26,0 days 00:15:44.342791411
123,21 days 07:59:11,0 days 00:17:13.735838474
124,23 days 21:02:09,0 days 00:18:58.481788079
125,30 days 14:50:21,0 days 00:17:49.721391023
126,26 days 00:25:38,0 days 00:17:44.364583333
127,32 days 19:09:54,0 days 00:18:07.411358403
128,22 days 10:12:30,0 days 00:29:45.760368663
129,24 days 03:57:06,0 days 00:14:31.379799666
130,1 days 17:41:34,0 days 00:18:57.075757575
131,21 days 23:04:46,0 days 00:23:39.211667913
132,38 days 00:17:13,0 days 00:21:39.656905421
134,18 days 23:53:17,0 days 00:14:23.787894736
135,26 days 22:46:46,0 days 00:14:46.336505519
136,27 days 01:33:48,0 days 00:17:20.688918558
137,24 days 13:04:24,0 days 01:06:11.280898876
138,28 days 01:28:04,0 days 00:17:57.548444444
139,28 days 13:37:55,0 days 00:14:39.641838916
140,21 days 06:50:58,0 days 00:14:08.665436086
141,17 days 14:49:06,0 days 00:19:58.540157480
142,21 days 19:51:21,0 days 00:15:00.611747851
143,9 days 18:15:09,0 days 00:18:29.617105263
144,10 days 06:14:39,0 days 00:20:52.088983050
145,3 days 02:29:13,0 days 00:20:30.059633027
146,5 days 23:15:29,0 days 00:17:17.684104627
147,5 days 16:40:56,0 days 00:14:40.243291592
148,5 days 02:21:59,0 days 00:12:38.208261617
149,2 days 00:32:34,0 days 00:22:14
150,1 days 08:36:13,0 days 00:19:33.730000
151,3 days 03:18:01,0 days 00:15:06.625418060
152,4 days 16:29:56,0 days 00:12:47.037878787
153,8 days 00:19:21,0 days 00:21:38.988742964
155,6 days 08:02:34,0 days 00:26:54.613569321
156,0 days 01:08:42,0 days 00:05:43.500000
157,1 days 06:49:07,0 days 00:41:05.488888888
158,10 days 01:23:35,0 days 00:49:36.078767123
160,0 days 21:20:57,0 days 00:16:25.346153846
162,6 days 02:21:50,0 days 00:24:44.253521126
164,4 days 17:36:54,0 days 00:22:21.029508196
165,6 days 19:29:43,0 days 00:14:47.757164404
166,1 days 18:40:41,0 days 00:16:24.878205128
167,11 days 23:18:01,0 days 00:19:09.201111111
168,52 days 21:02:20,0 days 00:17:30.239080459
169,0 days 00:32:35,0 days 00:01:15.192307692
170,24 days 08:21:04,0 days 00:16:31.359095193
171,6 days 06:00:06,0 days 00:16:38.162661737
173,4 days 16:13:43,0 days 00:14:46.015350877
174,11 days 22:50:35,0 days 00:16:12.349340866
175,7 days 10:38:54,0 days 00:12:46.548271752
176,2 days 05:25:26,0 days 00:21:05.302631578
177,5 days 03:46:13,0 days 00:20:07.514905149
178,12 days 00:35:36,0 days 00:15:06.575916230
179,9 days 09:28:03,0 days 00:15:17.155932203
180,4 days 22:50:07,0 days 00:19:41.787292817
181,6 days 15:22:06,0 days 00:15:00.668759811
182,3 days 10:50:44,0 days 00:29:04.116959064
184,20 days 06:37:07,0 days 00:13:05.220528910
185,3 days 19:44:28,0 days 00:17:15.322884012
186,8 days 14:25:26,0 days 00:17:47.709770114
187,11 days 05:51:48,0 days 00:15:49.665689149
188,9 days 19:54:02,0 days 00:17:09.384242424
189,2 days 02:22:35,0 days 00:29:55.594059405
190,1 days 11:32:36,0 days 00:35:32.600000
191,9 days 03:43:35,0 days 00:31:23.369047619
192,0 days 22:36:29,0 days 00:50:14.407407407
193,6 days 18:23:45,0 days 00:31:19.823151125
194,7 days 20:19:39,0 days 00:19:45.277972027
195,6 days 00:00:23,0 days 00:24:32.792613636
197,8 days 00:29:23,0 days 00:19:24.643697478
198,5 days 16:39:30,0 days 00:21:21.171875
199,6 days 10:42:01,0 days 00:21:26.191685912
200,5 days 02:19:54,0 days 00:21:46.807121661
201,9 days 15:46:26,0 days 00:23:34.213559322
202,9 days 14:17:18,0 days 00:15:18.093023255
204,11 days 14:31:10,0 days 00:27:56.705685618
205,9 days 17:37:25,0 days 00:18:41.393333333
206,5 days 22:19:59,0 days 00:25:57.443768996
207,6 days 05:07:16,0 days 00:16:25.020183486
208,5 days 11:42:49,0 days 00:25:24.659163987
209,3 days 06:01:18,0 days 00:23:53.051020408
210,2 days 16:49:24,0 days 00:17:50.477064220
211,7 days 02:41:11,0 days 00:22:45.491111111
212,17 days 21:29:01,0 days 00:33:41.099346405
213,9 days 04:47:23,0 days 00:16:06.962287104
214,8 days 00:45:39,0 days 00:17:05.020679468
216,23 days 16:37:15,0 days 00:16:12.463182897
218,5 days 20:55:04,0 days 00:17:25.987628865
219,3 days 17:36:55,0 days 00:21:35.642570281
220,36 days 14:09:47,0 days 00:14:50.782473936
221,13 days 11:43:33,0 days 00:21:20.673626373
222,51 days 08:02:13,0 days 00:16:20.617510501
223,11 days 10:48:01,0 days 00:27:45.456228956
224,9 days 04:31:43,0 days 00:22:07.596989966
226,3 days 08:45:56,0 days 00:13:32.167597765
227,18 days 23:01:57,0 days 00:21:03.004626060
228,5 days 03:41:07,0 days 00:18:16.716748768
229,4 days 13:06:09,0 days 00:15:00.846330275
230,5 days 06:04:37,0 days 00:23:56.319620253
231,4 days 15:24:01,0 days 00:21:09.117088607
232,31 days 04:18:24,0 days 00:16:07.290484739
233,20 days 17:42:20,0 days 00:18:53.295382669
234,2 days 17:24:42,0 days 00:20:59.262032085
235,18 days 16:19:27,0 days 00:13:26.177322677
236,11 days 05:51:23,0 days 00:16:41.528865979
237,7 days 06:45:15,0 days 00:29:22.226890756
238,11 days 21:05:24,0 days 00:27:30.038585209
239,4 days 03:25:11,0 days 00:16:15.234332425
240,4 days 03:43:21,0 days 00:22:50.232824427
241,3 days 03:12:25,0 days 00:18:57.584033613
242,4 days 10:57:01,0 days 00:22:03.096219931
243,4 days 21:02:16,0 days 00:16:43.180952380
244,2 days 19:26:46,0 days 00:22:59.579545454
246,8 days 16:47:44,0 days 00:24:30.966731898
247,9 days 10:52:35,0 days 00:19:05.518934081
248,5 days 08:02:54,0 days 00:15:20.107784431
249,12 days 03:37:07,0 days 00:15:59.622486288
251,1 days 18:45:10,0 days 00:24:39.903846153
252,23 days 13:29:00,0 days 00:48:03.484419263
253,21 days 05:58:22,0 days 00:13:07.265008576
254,39 days 06:47:29,0 days 00:17:02.611931304
255,19 days 18:52:37,0 days 00:22:53.138152610
256,0 days 23:09:16,0 days 00:33:04.666666666
257,5 days 23:59:39,0 days 00:23:06.040106951
259,19 days 05:32:47,0 days 00:19:17.080083565
260,5 days 02:44:00,0 days 00:18:13.663366336
261,5 days 10:12:38,0 days 00:21:45.732590529
263,51 days 09:23:27,0 days 00:13:13.035720664
266,62 days 02:57:48,0 days 01:14:44.100250626
267,32 days 19:59:39,0 days 00:14:56.013581806
268,17 days 04:27:54,0 days 00:15:16.588888888
269,3 days 07:21:50,0 days 00:15:55.551839464
270,1 days 18:47:44,0 days 01:42:42.560000
271,2 days 23:42:48,0 days 00:30:44.057142857
272,21 days 17:29:12,0 days 00:14:22.357372531
273,9 days 21:19:52,0 days 00:16:55.923900118
274,28 days 21:08:31,0 days 00:17:39.130305602
275,20 days 22:55:03,0 days 00:19:55.051485148
277,23 days 02:15:24,0 days 00:15:51.967557251
279,11 days 01:46:21,0 days 00:16:40.816945606
280,27 days 01:19:16,0 days 00:19:37.017119838
282,14 days 05:59:02,0 days 00:22:35.883259911
283,8 days 09:27:03,0 days 00:25:56.272532188
284,7 days 21:21:16,0 days 00:13:42.287092882
285,13 days 22:14:49,0 days 00:15:51.969145569
286,8 days 20:03:25,0 days 00:21:14.465776293
287,9 days 16:07:56,0 days 00:16:11.716279069
288,13 days 18:25:08,0 days 00:16:11.026938775
290,10 days 15:48:56,0 days 00:23:11.141993957
291,11 days 10:20:03,0 days 00:19:24.626179245
292,13 days 08:22:15,0 days 00:41:36.396103896
