new출발터미널,총이용시간,평균이용시간
1,24 days 14:07:46,0 days 00:18:10.028732683
2,81 days 00:49:43,0 days 00:18:54.929972442
4,30 days 11:25:21,0 days 00:21:59.198897795
5,23 days 22:46:04,0 days 00:19:10.814238042
6,48 days 10:42:00,0 days 00:17:28.789776998
7,43 days 04:34:39,0 days 00:21:58.614487632
8,70 days 08:10:37,0 days 00:14:21.314767573
9,68 days 01:51:35,0 days 00:19:26.348403727
10,33 days 22:27:35,0 days 00:22:00.150832958
11,83 days 15:45:02,0 days 00:20:06.862915344
12,36 days 19:45:27,0 days 00:14:36.212338198
13,17 days 13:27:09,0 days 00:14:17.676088185
14,10 days 13:40:02,0 days 00:19:24.798469387
15,40 days 21:49:38,0 days 00:21:17.866232827
16,4 days 21:41:48,0 days 00:34:57.564356435
17,41 days 15:56:11,0 days 00:21:03.077543859
18,70 days 10:03:11,0 days 00:13:49.926476606
19,8 days 13:01:17,0 days 00:16:42.822010869
20,49 days 17:52:03,0 days 00:20:56.702631578
21,34 days 22:58:07,0 days 00:16:03.408931419
22,24 days 07:59:15,0 days 00:13:01.254180602
23,29 days 02:47:39,0 days 00:16:14.683843471
24,24 days 03:36:12,0 days 00:14:14.102333196
26,11 days 17:27:53,0 days 00:19:50.685076380
27,97 days 11:10:56,0 days 00:14:40.311101818
28,104 days 19:18:30,0 days 00:18:24.147055237
29,18 days 19:39:59,0 days 00:17:44.832351015
30,82 days 06:23:05,0 days 00:24:45.120142081
32,31 days 09:14:54,0 days 00:17:02.509049773
33,6 days 20:19:46,0 days 00:30:42.947040498
34,70 days 11:14:05,0 days 00:15:38.560968090
35,63 days 15:45:12,0 days 00:18:31.317841988
36,7 days 16:37:58,0 days 00:26:26.343675417
37,19 days 12:01:27,0 days 00:17:33.054375
38,37 days 02:44:52,0 days 00:24:45.955514365
39,48 days 03:07:46,0 days 00:14:50.654529877
40,23 days 00:24:38,0 days 00:16:45.906929691
41,52 days 08:52:14,0 days 00:14:01.810976744
42,51 days 13:41:43,0 days 00:14:05.805429005
43,30 days 05:39:57,0 days 00:15:56.921978021
44,18 days 11:35:09,0 days 00:16:32.485394655
45,10 days 14:35:06,0 days 00:18:47.313653136
46,11 days 08:56:39,0 days 00:16:26.545180722
47,8 days 21:50:53,0 days 00:14:20.170949720
48,40 days 04:07:32,0 days 00:18:34.954063604
49,23 days 14:11:23,0 days 00:17:35.011904761
50,13 days 18:23:33,0 days 00:19:08.082046332
51,15 days 06:09:26,0 days 00:19:36.933928571
52,62 days 09:59:26,0 days 00:24:01.916042780
53,74 days 02:57:12,0 days 00:29:23.765353896
54,7 days 14:30:44,0 days 00:16:04.822320117
55,17 days 03:06:05,0 days 00:16:32.598926894
56,26 days 05:59:10,0 days 00:20:15.407288317
57,28 days 17:16:18,0 days 00:19:36.008530805
58,28 days 00:25:08,0 days 00:19:12.718095238
59,23 days 02:21:55,0 days 00:18:41.188202247
60,17 days 21:34:53,0 days 00:21:18.093388429
61,37 days 06:28:07,0 days 00:16:04.964638897
62,20 days 03:50:08,0 days 00:17:42.078048780
63,15 days 08:57:33,0 days 00:16:40.944235116
64,13 days 15:01:50,0 days 00:18:15.172093023
65,45 days 21:55:07,0 days 00:17:03.453818369
66,22 days 11:32:33,0 days 00:17:40.815401419
67,2 days 08:35:12,0 days 00:37:43.466666666
68,9 days 13:52:19,0 days 00:25:15.639194139
69,22 days 22:14:25,0 days 00:17:04.762027935
70,8 days 08:12:04,0 days 00:17:49.323442136
71,7 days 00:27:48,0 days 00:23:30.390697674
72,42 days 06:07:47,0 days 00:29:22.001447876
73,66 days 00:15:07,0 days 00:18:53.407591414
74,34 days 21:46:10,0 days 00:23:18.872912801
75,78 days 16:28:11,0 days 00:20:15.101161751
76,6 days 09:43:49,0 days 00:15:22.381666666
77,29 days 22:23:35,0 days 00:17:34.306971055
78,31 days 20:19:19,0 days 00:16:51.974623023
79,11 days 19:56:27,0 days 00:15:45.593894542
80,28 days 12:47:44,0 days 00:17:34.432848588
81,30 days 22:09:02,0 days 00:20:24.446379468
82,12 days 20:40:16,0 days 00:19:02.051387461
83,10 days 04:17:06,0 days 00:22:43.451162790
84,12 days 20:13:44,0 days 00:20:35.661469933
85,15 days 06:33:33,0 days 00:12:26.809847198
86,29 days 14:57:01,0 days 00:14:29.663948352
87,58 days 13:49:48,0 days 00:26:54.865347798
89,6 days 06:26:42,0 days 00:16:10.612903225
90,24 days 07:25:40,0 days 00:38:35.700110253
91,3 days 23:37:56,0 days 00:32:36.113636363
92,10 days 23:18:20,0 days 00:21:26.160108548
93,33 days 02:46:26,0 days 00:17:41.664564007
94,5 days 23:09:01,0 days 00:22:57.917112299
95,20 days 10:54:32,0 days 00:24:18.145214521
96,1 days 11:02:39,0 days 00:16:49.272000
97,5 days 07:27:55,0 days 00:34:08.549107142
101,40 days 20:23:43,0 days 00:19:47.558209959
102,4 days 12:12:13,0 days 00:33:07.413265306
103,15 days 13:41:38,0 days 00:16:23.404970760
104,22 days 08:22:00,0 days 00:19:26.014492753
105,39 days 11:06:08,0 days 00:13:58.762115621
106,23 days 12:05:10,0 days 00:28:25.046179680
107,31 days 05:49:40,0 days 00:23:15.749741468
108,19 days 03:09:08,0 days 00:18:42.164290563
109,51 days 02:11:46,0 days 00:17:46.515100265
110,22 days 06:31:05,0 days 00:13:16.797101449
112,5 days 13:09:38,0 days 00:13:28.394603709
113,25 days 08:49:12,0 days 00:20:22.393753485
114,3 days 12:17:39,0 days 00:26:12.326424870
115,14 days 11:14:11,0 days 00:19:47.132953466
116,22 days 19:39:26,0 days 00:13:30.010682004
117,84 days 11:38:32,0 days 00:31:35.484809140
118,52 days 13:48:56,0 days 00:20:14.257150494
119,35 days 17:18:05,0 days 00:21:58.361811191
120,38 days 02:35:00,0 days 00:17:10.839073262
121,40 days 18:42:44,0 days 00:18:54.373470701
123,36 days 03:16:22,0 days 00:21:49.090985324
124,30 days 18:37:34,0 days 00:16:29.967982129
125,42 days 04:56:02,0 days 00:19:25.780690537
126,32 days 15:47:27,0 days 00:18:27.396781789
127,40 days 23:44:38,0 days 00:17:22.224249558
128,17 days 12:36:48,0 days 00:17:49.355932203
129,33 days 01:30:54,0 days 00:14:23.037462235
130,2 days 21:46:07,0 days 00:20:49.587064676
131,13 days 22:32:06,0 days 00:13:19.685258964
132,39 days 13:10:57,0 days 00:18:10.666134695
134,29 days 04:08:18,0 days 00:16:28.043120344
135,37 days 08:51:27,0 days 00:15:37.209579100
136,36 days 00:55:31,0 days 00:16:54.575105897
137,9 days 20:07:51,0 days 00:20:19.614060258
138,39 days 07:49:47,0 days 00:18:43.978498180
139,38 days 00:57:52,0 days 00:15:40.931004866
140,33 days 03:32:56,0 days 00:14:54.154230408
141,17 days 15:02:52,0 days 00:16:00.865615141
142,31 days 11:30:33,0 days 00:14:47.963761018
143,12 days 00:07:16,0 days 00:17:59.329864724
144,12 days 09:01:25,0 days 00:17:20.160505836
145,4 days 07:19:05,0 days 00:13:14.754273504
146,9 days 20:05:38,0 days 00:18:28.132985658
147,14 days 08:23:58,0 days 00:26:48.090791180
148,10 days 05:28:30,0 days 00:15:08.232271325
149,2 days 00:59:38,0 days 00:22:57.953125
150,1 days 01:53:27,0 days 00:24:39.476190476
151,4 days 16:47:25,0 days 00:15:44.290697674
152,9 days 22:14:24,0 days 00:20:06.278481012
153,11 days 11:54:41,0 days 00:23:45.080344332
155,9 days 07:42:24,0 days 00:27:33.683778234
156,0 days 02:02:50,0 days 00:08:46.428571428
157,0 days 20:33:58,0 days 00:18:41.787878787
158,5 days 04:57:32,0 days 00:20:12.539083557
160,1 days 02:16:47,0 days 00:17:08.336956521
162,6 days 00:12:22,0 days 00:17:39.473469387
164,5 days 14:17:58,0 days 00:24:20.658610271
165,9 days 00:02:40,0 days 00:18:01.724617524
166,2 days 13:22:58,0 days 00:23:36.525641025
167,22 days 01:33:52,0 days 00:20:51.760998030
168,61 days 08:24:30,0 days 00:14:40.802592223
169,0 days 01:37:04,0 days 00:04:02.666666666
170,42 days 15:46:03,0 days 00:20:15.555079155
171,8 days 14:15:28,0 days 00:18:10.349486049
173,7 days 10:47:51,0 days 00:22:09.898760330
174,12 days 03:57:46,0 days 00:12:39.989877078
175,9 days 23:57:29,0 days 00:14:22.986013986
176,2 days 10:45:39,0 days 00:12:09.444827586
177,7 days 10:58:17,0 days 00:20:06.548689138
178,18 days 02:06:16,0 days 00:15:56.996938150
179,8 days 17:55:10,0 days 00:13:36.983783783
180,9 days 11:12:10,0 days 00:18:46.625344352
181,12 days 07:53:11,0 days 00:17:14.166019417
182,2 days 22:35:59,0 days 00:24:46.309941520
184,34 days 00:53:24,0 days 00:16:13.776158940
185,7 days 03:48:46,0 days 00:20:34.582834331
186,11 days 01:58:32,0 days 00:19:16.415458937
187,12 days 10:32:10,0 days 00:16:14.369900271
188,13 days 00:52:36,0 days 00:17:19.073800738
189,2 days 08:15:01,0 days 00:27:26.349593495
190,1 days 15:02:52,0 days 00:30:49.631578947
191,6 days 14:01:32,0 days 00:20:10.408510638
192,0 days 17:41:49,0 days 00:37:55.321428571
193,4 days 23:20:48,0 days 00:19:08.791443850
194,8 days 16:16:31,0 days 00:21:17.327086882
195,9 days 09:23:08,0 days 00:24:21.960360360
197,12 days 10:36:59,0 days 00:19:17.178686759
198,8 days 17:47:06,0 days 00:20:28.009756097
199,10 days 15:35:47,0 days 00:23:31.268404907
200,8 days 20:19:22,0 days 00:23:22.499082568
201,14 days 01:24:32,0 days 00:24:35.907654921
202,16 days 18:46:34,0 days 00:19:34.084210526
204,11 days 13:43:32,0 days 00:24:11.105950653
205,14 days 04:23:07,0 days 00:17:26.444918872
206,7 days 07:14:37,0 days 00:24:44.416470588
207,11 days 00:11:56,0 days 00:20:17.818181818
208,5 days 14:12:26,0 days 00:27:57.590277777
209,3 days 03:50:32,0 days 00:15:28.680272108
210,3 days 07:48:35,0 days 00:25:53.054054054
211,12 days 18:07:37,0 days 00:33:42.122935779
212,20 days 01:54:40,0 days 00:23:39.705400981
213,12 days 17:11:59,0 days 00:16:02.943908851
214,10 days 20:55:44,0 days 00:21:25.012311901
215,11 days 20:37:23,0 days 00:20:12.595266272
216,37 days 06:01:31,0 days 00:18:34.821960512
218,8 days 02:13:34,0 days 00:19:37.127946127
219,7 days 06:49:20,0 days 00:23:31.121076233
220,69 days 06:08:29,0 days 00:18:14.914730100
221,15 days 08:07:00,0 days 00:18:53.635585970
222,87 days 04:49:24,0 days 00:18:42.993590699
223,9 days 22:17:37,0 days 00:22:12.076086956
224,6 days 22:50:41,0 days 00:16:31.156765676
226,5 days 16:45:55,0 days 00:16:14.960396039
227,31 days 22:54:14,0 days 00:24:06.988469601
228,8 days 16:10:29,0 days 00:19:12.967692307
229,5 days 12:48:51,0 days 00:16:15.777551020
230,7 days 09:00:06,0 days 00:24:52.285714285
231,4 days 20:18:55,0 days 00:22:30.758064516
232,49 days 20:15:28,0 days 00:17:20.475477168
233,27 days 08:47:37,0 days 00:21:15.327400215
234,4 days 09:44:45,0 days 00:23:24.741697416
235,36 days 18:40:15,0 days 00:19:05.086486486
236,17 days 07:35:37,0 days 00:19:09.990007686
237,6 days 22:21:08,0 days 00:25:35.558974358
238,9 days 18:23:50,0 days 00:25:59.759704251
239,7 days 04:33:57,0 days 00:19:16.865921787
240,5 days 14:24:31,0 days 00:19:12.073809523
241,2 days 19:52:29,0 days 00:13:29.102649006
242,13 days 15:58:37,0 days 00:33:34.875426621
243,8 days 11:13:30,0 days 00:23:40.601941747
244,1 days 01:12:15,0 days 00:34:22.159090909
246,9 days 07:07:22,0 days 00:22:53.063247863
247,11 days 07:35:16,0 days 00:17:13.526427061
248,8 days 06:35:09,0 days 00:16:04.789473684
249,21 days 02:35:12,0 days 00:22:34.912332838
251,1 days 07:37:21,0 days 00:18:36.088235294
252,16 days 22:12:16,0 days 00:22:19.135531135
253,34 days 08:11:31,0 days 00:17:14.550557880
254,44 days 22:46:33,0 days 00:14:44.041201912
255,21 days 20:51:02,0 days 00:25:10.361310951
256,0 days 09:27:35,0 days 00:16:41.617647058
257,8 days 16:40:13,0 days 00:20:31.496721311
259,22 days 05:06:43,0 days 00:17:32.771804717
260,5 days 09:15:18,0 days 00:15:49.628571428
261,11 days 12:11:39,0 days 00:37:04.382550335
263,94 days 13:53:21,0 days 00:16:56.874191139
266,25 days 23:43:40,0 days 00:23:29.554300062
267,42 days 11:31:21,0 days 00:16:03.581254922
268,21 days 00:04:33,0 days 00:16:49.834724540
269,6 days 15:21:09,0 days 00:21:26.253363228
