new출발터미널,총이용시간,평균이용시간
1,24 days 11:37:58,0 days 00:18:27.000523286
2,73 days 15:00:10,0 days 00:17:16.534137200
4,23 days 13:33:23,0 days 00:18:09.354200107
5,21 days 00:28:22,0 days 00:16:36.216127262
6,44 days 04:06:15,0 days 00:16:53.914718384
7,38 days 01:08:35,0 days 00:20:42.371504157
8,75 days 00:59:09,0 days 00:15:48.719490781
9,68 days 08:42:21,0 days 00:20:30.785788705
10,30 days 23:48:40,0 days 00:18:46.986531986
11,50 days 16:23:00,0 days 00:13:42.034916463
12,37 days 16:19:14,0 days 00:15:25.136118215
13,20 days 01:28:40,0 days 00:15:29.892703862
14,12 days 04:43:27,0 days 00:18:50.694206008
15,37 days 19:14:07,0 days 00:19:38.652832912
16,2 days 22:29:25,0 days 00:25:56.840490797
17,38 days 00:32:28,0 days 00:20:56.270745697
18,76 days 04:46:13,0 days 00:14:34.660953899
19,13 days 11:11:57,0 days 00:21:07.447712418
20,48 days 06:42:21,0 days 00:20:06.636100665
21,32 days 15:41:07,0 days 00:15:10.967710687
22,27 days 09:55:45,0 days 00:13:51.944151738
23,24 days 19:25:01,0 days 00:15:07.494072819
24,31 days 18:23:32,0 days 00:17:31.978535837
26,11 days 00:37:24,0 days 00:20:33.994818652
27,106 days 19:54:43,0 days 00:16:33.764319552
28,122 days 08:44:57,0 days 00:22:03.191113892
29,19 days 14:05:40,0 days 00:17:27.888544891
30,71 days 02:42:25,0 days 00:21:27.001466275
32,25 days 07:26:50,0 days 00:14:25.720506730
33,6 days 19:57:28,0 days 00:31:31.820512820
34,68 days 22:02:15,0 days 00:18:22.487502314
35,63 days 13:47:17,0 days 00:18:19.446957566
36,6 days 05:11:52,0 days 00:22:22.780000
37,15 days 16:16:58,0 days 00:16:15.246940244
38,25 days 04:42:56,0 days 00:20:18.911534154
39,44 days 11:18:16,0 days 00:13:34.909013785
40,27 days 10:39:41,0 days 00:19:37.933929458
41,62 days 19:08:59,0 days 00:15:38.384469041
42,47 days 07:38:04,0 days 00:13:54.173433993
43,26 days 20:03:55,0 days 00:15:43.685388685
44,18 days 20:35:40,0 days 00:17:11.880937302
45,11 days 04:38:01,0 days 00:22:17.594744121
46,12 days 12:55:09,0 days 00:17:17.652298850
47,9 days 02:18:01,0 days 00:15:17.014002333
48,29 days 22:42:33,0 days 00:15:17.826534231
49,28 days 19:30:37,0 days 00:19:37.038770685
50,10 days 03:25:03,0 days 00:15:50.437093275
51,14 days 19:13:21,0 days 00:17:30.781429745
52,67 days 04:56:31,0 days 00:23:27.658424242
53,66 days 08:54:06,0 days 00:25:55.736842105
54,7 days 17:25:32,0 days 00:16:51.412121212
55,14 days 13:01:06,0 days 00:14:33.152189020
56,23 days 07:49:30,0 days 00:17:23.152173913
57,29 days 22:10:05,0 days 00:20:16.661176470
58,18 days 14:15:02,0 days 00:13:40.481103166
59,17 days 19:25:02,0 days 00:14:30.799094510
60,15 days 23:44:09,0 days 00:18:15.518636003
61,34 days 13:03:59,0 days 00:16:10.930058555
62,20 days 00:10:41,0 days 00:17:02.259609698
63,17 days 01:15:00,0 days 00:20:12.592592592
64,13 days 18:30:53,0 days 00:17:34.834219858
65,44 days 20:20:45,0 days 00:17:24.432614555
66,19 days 23:23:22,0 days 00:16:45.712121212
67,1 days 18:46:09,0 days 00:30:32.964285714
68,9 days 15:10:37,0 days 00:23:37.780238500
69,20 days 17:37:34,0 days 00:15:40.395800524
70,7 days 12:20:22,0 days 00:15:22.190340909
71,7 days 03:10:46,0 days 00:22:49.435555555
72,24 days 19:57:16,0 days 00:18:28.752454780
73,89 days 13:21:20,0 days 00:26:09.190833502
74,27 days 16:35:43,0 days 00:19:46.777281746
75,101 days 23:25:47,0 days 00:26:29.526790546
76,6 days 03:04:52,0 days 00:15:50.614003590
77,30 days 14:35:16,0 days 00:17:47.628582963
78,25 days 23:02:14,0 days 00:15:23.398106216
79,12 days 16:54:16,0 days 00:15:30.216949152
80,29 days 03:08:07,0 days 00:17:13.204844006
81,27 days 10:34:44,0 days 00:17:39.849798837
82,11 days 04:57:23,0 days 00:18:06.692480359
83,14 days 09:04:34,0 days 00:30:00.397101449
84,13 days 15:54:00,0 days 00:18:59.420849420
85,16 days 00:17:19,0 days 00:14:17.149318463
86,31 days 02:26:55,0 days 00:15:29.510549982
87,54 days 15:08:46,0 days 00:26:09.190824468
89,6 days 23:04:27,0 days 00:16:50.868907563
90,22 days 22:47:28,0 days 00:34:29.778705636
91,2 days 04:14:17,0 days 00:21:10.655405405
92,8 days 11:42:08,0 days 00:18:31.103030303
93,25 days 02:51:19,0 days 00:13:35.281367392
94,5 days 22:42:35,0 days 00:23:16.073369565
95,26 days 13:16:37,0 days 00:33:23.665502183
96,3 days 15:37:05,0 days 00:30:44.590643274
97,3 days 21:48:09,0 days 00:16:27.394736842
101,43 days 09:21:38,0 days 00:19:28.244936117
102,5 days 15:25:29,0 days 00:39:38.190243902
103,17 days 14:53:01,0 days 00:17:20.588516746
104,27 days 19:12:12,0 days 00:22:51.748715019
105,28 days 11:49:09,0 days 00:12:49.537042825
106,19 days 18:01:25,0 days 00:26:34.845794392
107,26 days 06:51:17,0 days 00:19:52.792542016
108,16 days 07:22:07,0 days 00:16:07.005490734
109,52 days 03:32:43,0 days 00:19:19.434637159
110,20 days 06:57:38,0 days 00:13:30.850138760
112,5 days 06:11:25,0 days 00:13:58.164206642
113,20 days 07:44:25,0 days 00:16:55.537883169
114,3 days 07:01:36,0 days 00:24:41.750000
115,13 days 06:14:18,0 days 00:17:57.759172154
116,23 days 03:54:45,0 days 00:13:08.528368794
117,76 days 17:09:45,0 days 00:29:17.207051961
118,50 days 23:40:03,0 days 00:20:12.218767198
119,34 days 18:47:41,0 days 00:22:21.634375
120,39 days 09:00:15,0 days 00:16:48.901245551
121,39 days 06:19:38,0 days 00:18:37.384057971
123,32 days 05:47:46,0 days 00:18:52.384552845
124,29 days 05:35:51,0 days 00:17:35.474717927
125,41 days 00:31:03,0 days 00:19:17.877491016
126,49 days 18:44:31,0 days 00:26:50.888014981
127,39 days 12:36:55,0 days 00:17:34.016975308
128,15 days 17:11:20,0 days 00:18:06.304000
129,30 days 03:46:43,0 days 00:13:03.404389657
130,2 days 12:57:19,0 days 00:21:38.455621301
131,14 days 19:50:46,0 days 00:13:27.721311475
132,40 days 10:42:19,0 days 00:18:12.726391494
134,29 days 21:25:37,0 days 00:17:24.374039627
135,35 days 22:57:24,0 days 00:14:43.322149559
136,33 days 19:01:08,0 days 00:16:56.597493036
137,9 days 03:46:48,0 days 00:17:55.010869565
138,38 days 16:19:50,0 days 00:19:02.560683760
139,36 days 10:27:45,0 days 00:16:10.726179463
140,28 days 17:03:17,0 days 00:15:10.310825688
141,20 days 08:01:48,0 days 00:18:01.174153846
142,27 days 20:00:54,0 days 00:14:07.675008812
143,15 days 06:26:37,0 days 00:19:09.126306620
144,14 days 13:35:50,0 days 00:21:21.619144602
145,2 days 17:01:53,0 days 00:16:36.225531914
146,8 days 10:09:32,0 days 00:17:07.926553672
147,7 days 08:16:46,0 days 00:14:57.603960396
