new출발터미널,총이용시간,평균이용시간
132,35 days 22:31:34,0 days 00:16:52.750815394
134,26 days 05:35:01,0 days 00:15:41.628998753
135,29 days 22:23:49,0 days 00:13:03.705757575
136,31 days 15:46:21,0 days 00:13:39.652682049
137,9 days 19:46:48,0 days 00:18:01.284076433
138,31 days 08:33:02,0 days 00:17:25.209104938
139,28 days 14:14:46,0 days 00:13:38.855154126
140,34 days 19:59:36,0 days 00:16:28.691195795
141,15 days 00:35:19,0 days 00:15:19.999291282
142,24 days 17:32:24,0 days 00:12:41.762566844
143,11 days 04:19:59,0 days 00:18:53.801643192
144,16 days 14:10:38,0 days 00:24:18.227873855
145,40 days 15:41:28,0 days 01:28:58.127659574
146,4 days 14:42:20,0 days 00:13:18.677354709
147,14 days 14:20:51,0 days 00:23:07.514851485
148,10 days 01:05:06,0 days 00:12:59.089766606
149,1 days 21:40:31,0 days 00:28:32.822916666
150,4 days 22:49:05,0 days 01:05:24.266055045
151,3 days 23:40:29,0 days 00:14:14.662531017
152,3 days 22:18:30,0 days 00:13:28.357142857
153,9 days 06:10:14,0 days 00:21:11.564387917
155,3 days 05:07:17,0 days 00:19:46.482905982
156,0 days 05:27:53,0 days 00:12:36.653846153
157,1 days 13:26:12,0 days 01:00:42.486486486
158,3 days 12:40:58,0 days 00:17:24.034246575
160,1 days 09:00:20,0 days 00:22:00.222222222
162,4 days 05:19:51,0 days 00:16:56.130919220
164,5 days 08:24:47,0 days 00:20:10.175392670
165,6 days 03:02:54,0 days 00:17:53.780933062
166,2 days 16:46:02,0 days 00:20:27.168421052
167,11 days 14:47:25,0 days 00:14:57.714669051
168,59 days 13:14:58,0 days 00:14:30.608798646
169,0 days 00:15:03,0 days 00:01:22.090909090
170,33 days 13:51:28,0 days 00:18:08.588367729
171,8 days 14:48:06,0 days 00:16:09.382812500
173,5 days 14:13:02,0 days 00:14:48.202205882
174,14 days 13:02:12,0 days 00:16:42.818834796
175,9 days 02:28:22,0 days 00:16:50.928020565
176,1 days 23:23:46,0 days 00:18:35.202614379
177,6 days 22:34:43,0 days 00:19:40.478346456
178,15 days 04:03:49,0 days 00:15:06.382434301
179,8 days 21:59:41,0 days 00:13:53.745670995
180,9 days 19:58:49,0 days 00:26:48.956439393
181,10 days 08:01:15,0 days 00:19:34.835526315
182,3 days 17:25:26,0 days 00:35:31.960264900
184,40 days 17:29:32,0 days 00:18:52.959433354
185,7 days 11:20:07,0 days 00:28:10.070680628
186,7 days 17:19:20,0 days 00:15:00.350877192
187,13 days 10:27:29,0 days 00:16:55.615923009
188,11 days 20:24:38,0 days 00:16:58.784079601
189,2 days 14:15:21,0 days 00:24:34.480263157
190,0 days 13:15:43,0 days 00:24:51.968750
191,4 days 08:46:06,0 days 00:19:02.927272727
192,1 days 01:06:26,0 days 00:37:39.650000
193,4 days 07:47:38,0 days 00:21:06.637288135
194,10 days 04:48:57,0 days 00:30:13.450617283
195,6 days 18:54:49,0 days 00:23:57.473039215
197,10 days 23:51:57,0 days 00:20:54.844121532
198,6 days 07:21:12,0 days 00:30:22.314381270
199,7 days 03:24:58,0 days 00:19:28.746212121
200,4 days 07:16:55,0 days 00:18:00.857558139
201,9 days 13:15:22,0 days 00:24:15.594356261
202,11 days 09:31:25,0 days 00:13:58.743611584
204,7 days 16:12:04,0 days 00:20:41.805243445
205,8 days 20:42:00,0 days 00:14:20.359550561
206,10 days 21:06:50,0 days 00:45:32.587209302
207,4 days 21:41:18,0 days 00:11:53.262626262
208,3 days 17:36:03,0 days 00:24:53.347222222
209,32 days 01:31:14,0 days 02:15:47.864705882
210,1 days 21:55:06,0 days 00:16:29.856287425
211,25 days 03:47:51,0 days 00:50:06.460580912
212,13 days 11:07:24,0 days 00:22:56.620118343
213,15 days 22:00:55,0 days 00:18:07.158102766
214,7 days 21:15:56,0 days 00:16:24.618497109
215,10 days 15:44:13,0 days 00:18:34.592009685
216,30 days 03:19:56,0 days 00:16:20.420180722
218,7 days 06:53:13,0 days 00:21:19.660569105
219,6 days 07:49:29,0 days 00:24:37.213513513
220,51 days 13:05:48,0 days 00:17:30.612880396
221,13 days 08:43:15,0 days 00:17:47.093345656
222,64 days 13:54:39,0 days 00:17:03.231065468
223,5 days 18:15:52,0 days 00:22:36.272479564
224,8 days 22:02:44,0 days 00:20:15.400630914
226,4 days 23:09:25,0 days 00:16:14.920454545
227,28 days 08:31:16,0 days 00:26:31.862248213
228,5 days 17:02:46,0 days 00:16:40.742393509
229,4 days 17:58:55,0 days 00:14:18.441422594
230,4 days 17:41:22,0 days 00:15:45.224018475
231,3 days 23:17:26,0 days 00:21:29.646616541
232,37 days 10:00:47,0 days 00:15:56.746670612
233,23 days 21:51:59,0 days 00:19:50.045506912
234,2 days 23:36:17,0 days 00:19:47.912442396
235,29 days 19:11:35,0 days 00:17:33.907081457
236,15 days 18:22:18,0 days 00:16:12.955714285
237,4 days 15:08:19,0 days 00:24:14.905454545
238,7 days 14:33:13,0 days 00:21:11.166344294
239,4 days 03:21:58,0 days 00:19:13.929032258
240,7 days 21:12:14,0 days 00:22:36.840637450
241,3 days 00:12:45,0 days 00:14:20.811258278
242,6 days 00:44:54,0 days 00:19:10.317880794
243,4 days 23:54:23,0 days 00:15:30.308189655
244,3 days 02:06:37,0 days 00:27:26.895061728
246,9 days 09:59:09,0 days 00:25:14.988826815
247,8 days 11:13:57,0 days 00:14:30.996428571
248,7 days 21:13:29,0 days 00:17:09.016616314
249,10 days 13:27:55,0 days 00:14:55.461236506
251,1 days 09:43:22,0 days 00:21:59.586956521
252,11 days 10:15:08,0 days 00:18:49.643020594
253,30 days 23:26:12,0 days 00:16:28.320531757
254,38 days 01:00:54,0 days 00:13:55.924211597
