번호,터미널명,주소,보관대수
199,3.15아트 센터 앞, 경남 창원시 마산회원구 양덕동 ,19
140,GMB코리아, 경남 창원시 성산구 가음정동 ,20
9,KPE창원공장 맞은편, 경남 창원시 의창구 팔용동 ,17
204,KT마산지점앞, 경남 창원시 마산합포구 서성동 ,20
110,KT앞(대우아파트맞은편), 경남 창원시 성산구 상남동 ,20
84,LG사원아파트 앞, 경남 창원시 성산구 가음동 ,24
97,LG정문, 경남 창원시 성산구 웅남동 ,36
145,SK테크노파크, 경남 창원시 성산구 성산동 ,25
10,㈜K.A.T 앞 보도, 경남 창원시 의창구 팔용동 ,15
142,가음동 은아아파트, 경남 창원시 성산구 가음동 ,24
235,가음동한림풀에버후문, 경남 창원시 성산구 가음동 ,30
87,가음정 자율방범대앞, 경남 창원시 성산구 가음동 ,20
86,가음정더샵센트럴파크2단지, 경남 창원시 성산구 가음동 ,18
143,가음정사거리, 경남 창원시 성산구 가음정동 ,24
85,가음정주민센터앞, 경남 창원시 성산구 남양동 ,39
264,감계공원, 경남 창원시 의창구 북면 감계리,10
265,감계덕산아내APT버스정류소옆, 경남 창원시 의창구 북면 감계리,10
96,강림중공업앞, 경남 창원시 성산구 웅남동 ,26
144,개나리 4차아파트, 경남 창원시 성산구 가음동 ,25
74,검찰청뒤 주차장, 경남 창원시 성산구 사파동 ,22
132,경남도교육청, 경남 창원시 성산구 용호동 ,25
38,경남도청, 경남 창원시 의창구 사림동 ,25
212,경남은행 본점 앞, 경남 창원시 마산회원구 석전동 ,20
108,경남지방경찰청, 경남 창원시 의창구 사림동 ,30
246,경상대병원동문, 경남 창원시 성산구 삼정자동 ,30
284,경화동 두산위브, 경남 창원시 진해구 경화동 ,20
176,경화동 육교 밑, 경남 창원시 진해구 경화동 ,20
221,경화동포스코더샵, 경남 창원시 진해구 경화동 ,19
47,공성상가, 경남 창원시 성산구 중앙동 ,14
44,교통문화연수원앞, 경남 창원시 성산구 반림동 ,26
6,구슬비 공원, 경남 창원시 의창구 팔용동 ,12
226,구암동KT앞, 경남 창원시 마산회원구 구암동 ,24
240,구암동효도요양병원맞은편, 경남 창원시 마산회원구 구암동 ,20
249,구암여중, 경남 창원시 마산회원구 구암동 ,26
60,국민연금관리공단, 경남 창원시 성산구 신월동 ,18
152,금강산면옥본점 앞, 경남 창원시 진해구 충무동 ,20
180,기적의 도서관, 경남 창원시 진해구 석동 ,20
40,까치1차아파트 버스정류소, 경남 창원시 성산구 반지동 ,14
125,까치아파트삼거리, 경남 창원시 의창구 봉곡동 ,20
292,남문 세스페데스공원 옆, 경남 창원시 진해구 남문동 ,20
211,남부터미널 앞, 경남 창원시 마산합포구 해운동 ,20
88,남산복지회관, 경남 창원시 성산구 가음동 ,23
90,남산터미널 앞, 경남 창원시 성산구 남산동 ,35
141,남양동성아파트, 경남 창원시 성산구 대방동 ,25
45,내동목련상가, 경남 창원시 성산구 내동 ,20
159,내서 롯데마트 앞, 경남 창원시 마산회원구 내서읍 삼계리,30
158,내서 상곡교차로 앞, 경남 창원시 마산회원구 내서읍 중리,20
193,내서 숲속마을 4차 아파트 옆, 경남 창원시 마산회원구 내서읍 삼계리,20
192,내서 현대프라자 앞, 경남 창원시 마산회원구 내서읍 호계리,14
156,내서맥도날드앞, 경남 창원시 마산회원구 내서읍 중리,20
160,내서운동장, 경남 창원시 마산회원구 내서읍 삼계리,25
157,내서읍사무소, 경남 창원시 마산회원구 내서읍 중리,15
190,내서코오롱1차상가 정류소 앞, 경남 창원시 마산회원구 내서읍 호계리,21
191,내서코오롱2차상가앞, 경남 창원시 마산회원구 내서읍 호계리,18
171,내수면환경생태공원주차장, 경남 창원시 진해구 태백동 ,15
182,냉천로 안전지대, 경남 창원시 진해구 이동 ,20
181,냉천사거리버스정류소, 경남 창원시 진해구 석동 ,19
42,노블파크아파트 버스정류소, 경남 창원시 성산구 반림동 ,28
106,농업기술센터앞, 경남 창원시 의창구 명서동 ,30
2,농협 서상동지점, 경남 창원시 의창구 서상동 ,15
174,늘푸른요양병원옆, 경남 창원시 진해구 여좌동 ,16
16,늘푸른전당, 경남 창원시 성산구 삼동동 ,20
187,대동다숲아파트 앞, 경남 창원시 진해구 장천동 ,20
136,대동백화점, 경남 창원시 성산구 상남동 ,30
81,대동황토방아파트 앞 버스정류소, 경남 창원시 성산구 대방동 ,31
114,대방동성아파트 버스정류소, 경남 창원시 성산구 남산동 ,35
102,대원동 대동아파트, 경남 창원시 성산구 삼동동 ,25
122,대원민원센터, 경남 창원시 성산구 대원동 ,17
14,대원평생학습센터, 경남 창원시 성산구 대원동 ,18
213,덕산동 해군아파트 버스정류소, 경남 창원시 진해구 자은동 ,20
232,덕산성당 앞, 경남 창원시 진해구 덕산동 ,17
80,덕산아파트 앞, 경남 창원시 성산구 대방동 ,32
263,도계광장교차로, 경남 창원시 의창구 소답동 ,23
287,도계동 안골, 경남 창원시 의창구 도계동 ,19
20,도계동 정류소앞, 경남 창원시 의창구 도계동 ,18
104,도계주유소, 경남 창원시 의창구 도계동 ,25
21,도계초교 앞 노외주차장, 경남 창원시 의창구 도계동 ,27
126,도청사거리, 경남 창원시 의창구 사림동 ,20
233,동남공단, 경남 창원시 성산구 외동 ,20
161,동읍동중학교 앞, 경남 창원시 의창구 동읍 신방리,16
99,동읍보건지소, 경남 창원시 의창구 동읍 용잠리,15
289,동읍주민복지관, 경남 창원시 의창구 동읍 용잠리,15
271,두대교사거리(대원꿈에그린105동앞), 경남 창원시 성산구 대원동 ,29
238,두산1차아파트101동앞, 경남 창원시 마산합포구 해운동 ,23
123,두산위브버스정류소, 경남 창원시 의창구 명서동 ,20
41,럭키아파트상가 버스정류소, 경남 창원시 성산구 반림동 ,20
67,레알주차장 옆, 경남 창원시 성산구 상남동 ,25
149,롯데마트중앙점(로터리앞), 경남 창원시 성산구 중앙동 ,30
150,롯데마트중앙점(이마트사이), 경남 창원시 성산구 중앙동 ,20
50,롯데백화점, 경남 창원시 성산구 상남동 ,25
247,마산 이마트건너편, 경남 창원시 마산합포구 신포동1가 ,25
194,마산시외버스 터미널, 경남 창원시 마산회원구 합성동 ,20
248,마산여성회관, 경남 창원시 마산합포구 산호동 ,19
196,마산역 앞, 경남 창원시 마산회원구 석전동 ,22
200,마산종합운동장사거리(롯데마트쪽), 경남 창원시 마산회원구 양덕동 ,38
207,마산합포구청 앞, 경남 창원시 마산합포구 중앙동1가 ,17
209,마산합포도서관 앞, 경남 창원시 마산합포구 해운동 ,30
228,마산합포우체국, 경남 창원시 마산합포구 중앙동2가 ,18
239,마산회원도서관, 경남 창원시 마산회원구 회원동 ,20
261,메트로시티2단지북측(201동앞), 경남 창원시 마산회원구 양덕동 ,21
